CODE,DESCRIPTION,FUNCTIONAL GROUP
SUPBB,Substrate: Unconsolidated (Soft): Pebble / Gravel: Biologenic: Barnacle Plates,82001010_1
SUPG,Substrate: Unconsolidated (Soft): Pebble / Gravel: Gravel (2-10Mm),82001011_1
SUPP,Substrate: Unconsolidated (Soft): Pebble / Gravel: Pebble (10-64Mm),82001012_1
SUS,Substrate: Unconsolidated (Soft): Sand / Mud (<2Mm),82001013_1
SUSC,Substrate: Unconsolidated (Soft): Sand / Mud (<2Mm): Coarse Sand (With Shell Fragments),82001014_1
SUSF,Substrate: Unconsolidated (Soft): Sand / Mud (<2Mm): Fine Sand (No Shell Fragments),82001015_1
SUSM,Substrate: Unconsolidated (Soft): Sand / Mud (<2Mm): Mud / Silt (<64Um),82001016_1
SUPBS,Substrate: Unconsolidated (Soft): Pebble / Gravel: Biologenic: Screwshells,82001017_1
SUPBRho,Substrate: Unconsolidated (Soft): Pebble / Gravel: Biologenic: Rhodoliths,82001018_1
B,Bedforms,82002000_1
BN,Bedforms: None,82002001_1
B2,Bedforms: 2D,82002002_1
B2R,Bedforms: 2D: Ripples (<10Cm Height),82002003_1
B2W,Bedforms: 2D: Waves (>10Cm Height),82002004_1
BB,Bedforms: Bioturbated,82002005_1
B3,Bedforms: 3D,82002006_1
B3R,Bedforms: 3D: Ripples (<10Cm Height),82002007_1
B3W,Bedforms: 3D: Waves (>10Cm Height),82002008_1
R,Relief,82003000_1
RF,Relief: Flat,82003001_1
RL,Relief: Low / Moderate,82003002_1
RLL,Relief: Low / Moderate: Low (<1M),82003003_1
RLM,Relief: Low / Moderate: Moderate (1-3M),82003004_1
RH,Relief: High,82003005_1
RHH,Relief: High: High (>3M),82003006_1
RHR,Relief: High: Wall,82003007_1
