CODE,DESCRIPTION,FUNCTIONAL GROUP
SPCLBTPO12,Sponges: Cup-Likes: Barrels: Tubular Pale Orange,10000907_10
SPCLBTTS5,Sponges: Cup-Likes: Barrels: Tubular Tan Singular,10000907_11
SPCLBPWSM,Sponges: Cup-Likes: Barrels: Pink-White Smooth Mouth,10000907_12
SPMC,Sponges: Massive Forms: Cryptic,10000908_1
SPMCCR1,Sponges: Massive Forms: Cryptic: Cryptic Red,10000908_2
SPMCCBW,Sponges: Massive Forms: Cryptic: Cryptic Black Wrinkly,10000908_3
SPMCCPB,Sponges: Massive Forms: Cryptic: Cryptic Purple Brain,10000908_4
SPMCCSWM,Sponges: Massive Forms: Cryptic: Cryptic Spiky White Massive,10000908_5
SPMCCLT,Sponges: Massive Forms: Cryptic: Cryptic Lavender Tubes,10000908_6
SPMCCOT,Sponges: Massive Forms: Cryptic: Cryptic Orange Tubes,10000908_7
SPCL,Sponges: Cup-Likes,10000909_1
SPCLC,Sponges: Cup-Likes: Cups,10000910_1
SPCLTC,Sponges: Cup-Likes: Tubes And Chimneys,10000911_1
SPCLTCCGR,Sponges: Cup-Likes: Tubes And Chimneys: Chimmey Grey Rough Small Oscule,10000911_2
SPCLTCCGS,Sponges: Cup-Likes: Tubes And Chimneys: Chimney Grey Single,10000911_3
SPCLTCCWR,Sponges: Cup-Likes: Tubes And Chimneys: Chimney White Round,10000911_4
SPCLTCCWT,Sponges: Cup-Likes: Tubes And Chimneys: Chimney White Tall,10000911_5
SPCLTCCYL,Sponges: Cup-Likes: Tubes And Chimneys: Chimney Yellow Large,10000911_6
SPCLTCTBI,Sponges: Cup-Likes: Tubes And Chimneys: Tube Beige Irregular,10000911_7
SPCLTCTWL,Sponges: Cup-Likes: Tubes And Chimneys: Tube White Lumpy,10000911_8
SPCLTCTBP,Sponges: Cup-Likes: Tubes And Chimneys: Tubes Beige Prostrate,10000911_9
SPCLTCTO,Sponges: Cup-Likes: Tubes And Chimneys: Tubes Orange Irrigular,10000911_10
SPCLTCTOWT,Sponges: Cup-Likes: Tubes And Chimneys: Tubes Orange White Tips,10000911_11
SPCLTCTP,Sponges: Cup-Likes: Tubes And Chimneys: Tubes Pink Cluster,10000911_12
SPCLTCTWF,Sponges: Cup-Likes: Tubes And Chimneys: Tubes White Fan,10000911_13
SPCLTCTWLO,Sponges: Cup-Likes: Tubes And Chimneys: Tubes White Large Osculum,10000911_14
SPCLTCT7,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Pink Thorny,10000911_15
SPCLTCT1,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Pink,10000911_16
SPCLTCT11,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Blue,10000911_17
SPCLTCT13,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Sycon,10000911_18
SPCLTCT14,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Solitary,10000911_19
SPCLTCT15,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Fuzzy,10000911_20
SPCLTCT2,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Apricot,10000911_21
SPCLTCT4,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Tan,10000911_22
SPCLTCT6,Sponges: Cup-Likes: Tubes And Chimneys: Tubular White Thorny,10000911_23
SPCLTCT8,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Orange,10000911_24
SPCLTCTA,Sponges: Cup-Likes: Tubes And Chimneys: Tubular Apricot Community,10000911_25
SPE,Sponges: Erect Forms,10000912_1
SPEL,Sponges: Erect Forms: Laminar,10000913_1
