"Matched_image_name","Lat","Long","Date"
"L1120_NPZT3_redo_13_50_09_0113",33.54808167,115.37824,"20200519"
"L1120_NPZT3_redo_13_50_09_0114",33.54808167,115.3781933,"20200519"
"L1120_NPZT3_redo_13_50_09_0115",33.54808667,115.378155,"20200519"
"L1120_NPZT3_redo_13_50_09_0116",33.54809,115.3781083,"20200519"
"L1120_NPZT3_redo_13_50_09_0117",33.548085,115.3780633,"20200519"
"L1120_NPZT3_redo_13_50_09_0118",33.54807833,115.3780267,"20200519"
"L1120_NPZT3_redo_13_50_09_0119",33.548075,115.3779883,"20200519"
"L1120_NPZT3_redo_13_50_09_0120",33.54807167,115.3779533,"20200519"
"L1120_NPZT3_redo_13_50_09_0121",33.54806167,115.37791,"20200519"
"L1120_NPZT3_redo_13_50_09_0122",33.54806167,115.3778733,"20200519"
"L1120_NPZT3_redo_13_50_09_0123",33.54806167,115.377845,"20200519"
"L1120_NPZT3_redo_13_50_09_0124",33.54804833,115.3778133,"20200519"
"L1120_NPZT3_redo_13_50_09_0125",33.54803167,115.37779,"20200519"
"L1120_NPZT3_redo_13_50_09_0126",33.54800833,115.3777633,"20200519"
"L1120_NPZT3_redo_13_50_09_0127",33.547995,115.37773,"20200519"
"L1120_NPZT3_redo_13_50_09_0128",33.54798833,115.3777067,"20200519"
"L1120_NPZT3_redo_13_50_09_0129",33.54798,115.37767,"20200519"
"L1120_NPZT3_redo_13_50_09_0130",33.54798667,115.3776417,"20200519"
"L1120_NPZT3_redo_13_50_09_0131",33.54798333,115.3776217,"20200519"
"L1120_NPZT3_redo_13_50_09_0132",33.54797667,115.3775983,"20200519"
"L1120_NPZT3_redo_13_50_09_0133",33.54799,115.3775683,"20200519"
"L1120_NPZT3_redo_13_50_09_0134",33.54799333,115.3775367,"20200519"
"L1120_NPZT3_redo_13_50_09_0135",33.54800833,115.3774967,"20200519"
"L1120_NPZT3_redo_13_50_09_0136",33.54802167,115.37744,"20200519"
"L1120_NPZT3_redo_13_50_09_0137",33.54803833,115.377395,"20200519"
"L1120_NPZT3_redo_13_50_09_0138",33.54805667,115.3773483,"20200519"
"L1120_NPZT3_redo_13_50_09_0139",33.54808,115.3773017,"20200519"
"L1120_NPZT3_redo_13_50_09_0140",33.548095,115.37726,"20200519"
"L1120_NPZT3_redo_13_50_09_0141",33.54811333,115.377215,"20200519"
"L1120_NPZT3_redo_13_50_09_0142",33.54812667,115.3771667,"20200519"
