campaign_name,dataset_name,image_name,latitude,longitude,image_url,image_width,image_height
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032552_165_FC16.png,-33.3511086,115.1119363,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032552_665_FC16.png,-33.3511123,115.1119352,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032553_165_FC16.png,-33.3511157,115.111934,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032553_665_FC16.png,-33.351119,115.1119327,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032554_165_FC16.png,-33.3511224,115.111931,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032554_665_FC16.png,-33.3511258,115.1119291,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032555_165_FC16.png,-33.3511292,115.1119267,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032555_665_FC16.png,-33.3511327,115.1119241,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032556_165_FC16.png,-33.351136,115.1119212,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032556_665_FC16.png,-33.3511393,115.1119181,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032557_165_FC16.png,-33.3511427,115.1119145,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032557_665_FC16.png,-33.3511461,115.1119107,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032558_165_FC16.png,-33.3511495,115.1119071,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032558_665_FC16.png,-33.3511529,115.1119033,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032559_165_FC16.png,-33.3511562,115.1118994,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032559_665_FC16.png,-33.3511598,115.1118956,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032600_165_FC16.png,-33.3511632,115.1118919,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032600_666_FC16.png,-33.3511663,115.1118884,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032601_166_FC16.png,-33.3511695,115.1118853,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032601_666_FC16.png,-33.3511725,115.1118821,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032602_166_FC16.png,-33.3511749,115.111879,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032602_666_FC16.png,-33.3511769,115.1118758,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032603_166_FC16.png,-33.3511786,115.1118725,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032603_666_FC16.png,-33.3511801,115.1118691,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032604_166_FC16.png,-33.3511814,115.1118659,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032604_666_FC16.png,-33.3511825,115.1118625,,1388,1038
,,,,,,,
