"siteID","lon_WGS84","lat_WGS84","ip"
"GB-BV-094",115.525615332024,-33.3810122075128,"1.70653999231608e-07"
"GB-BV-095",115.453335571023,-33.4697657142986,"1.70653999231608e-07"
"GB-BV-096",115.284965650354,-33.4837090727308,"1.70653999231608e-07"
"GB-BV-097",115.347592353973,-33.5420136052331,"1.70653999231608e-07"
"GB-BV-098",115.375043597917,-33.3969455036376,"1.70653999231608e-07"
"GB-BV-099",115.195198334419,-33.3709125650512,"1.70653999231608e-07"
"GB-BV-100",115.221024242069,-33.4059233260027,"1.70653999231608e-07"
"GB-BV-101",115.241704498955,-33.6141988692628,"1.70653999231608e-07"
"GB-BV-102",115.491753900531,-33.3966767951525,"1.70653999231608e-07"
"GB-BV-103",115.374454997715,-33.4290612946542,"1.70653999231608e-07"
"GB-BV-104",115.123313634869,-33.427392717153,"1.70653999231608e-07"
"GB-BV-105",115.350195005288,-33.497234277453,"1.70653999231608e-07"
"GB-BV-106",115.407504900774,-33.3618475986261,"1.70653999231608e-07"
"GB-BV-107",115.209438370333,-33.3660356550314,"1.70653999231608e-07"
"GB-BV-108",115.193911828127,-33.4351415309569,"1.70653999231608e-07"
"GB-BV-109",115.149669627417,-33.5304305383038,"3.05240761940344e-07"
"GB-BV-110",115.21978023289,-33.5332935134606,"3.05240761940344e-07"
"GB-BV-111",115.083113937123,-33.42201065001,"3.05240761940344e-07"
"GB-BV-112",115.364611897471,-33.3613500558015,"3.05240761940344e-07"
"GB-BV-113",115.093275775672,-33.5049727470492,"3.05240761940344e-07"
"GB-BV-114",115.214686734511,-33.52310845039,"3.05240761940344e-07"
"GB-BV-115",115.36617690036,-33.5636600751952,"3.05240761940344e-07"
"GB-BV-116",115.448246691485,-33.4907019452071,"3.05240761940344e-07"
"GB-BV-117",115.218351726198,-33.605355812557,"3.05240761940344e-07"
"GB-BV-118",115.21404866546,-33.4219509021349,"3.05240761940344e-07"
"GB-BV-119",115.325026328766,-33.5688265106942,"3.05240761940344e-07"
"GB-BV-120",115.305523471203,-33.4800614539056,"3.05240761940344e-07"
"GB-BV-121",115.137519670268,-33.6061359394732,"3.05240761940344e-07"
