Sample	Relief: 0. Flat substrate, sandy, rubble with few features. ~0 substrate slope.	Relief: 1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.	Relief: 2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.	Relief: 3. Good relief structure with some overhangs. >45 substrate slope.	Relief: 4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope.	fieldofview.Facing Down	fieldofview.Facing Up	fieldofview.Limited	fieldofview.Open	Biota: Consolidated	Biota: Macroalgae	Biota: Seagrasses	Biota: Sponges	Biota: Stony.corals	Biota: Unconsolidated
MF-CNB6-4	0.0	0.0	15.0	5.0	0.0	0.0	0.0	0.0	20.0	0.0	20.0	0.0	0.0	0.0	0.0
MF-CNB7-1	0.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	20.0	0.0	8.0	0.0	0.0	0.0	0.0
MF-CNB7-2	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	4.0	0.0	0.0	0.0	0.0
MF-CNB7-3	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	7.0	0.0	0.0	0.0	0.0
MF-CNB7-4	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-CNB7-5	0.0	0.0	10.0	0.0	0.0	0.0	0.0	10.0	10.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-GB018	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-GB019	1.0	0.0	5.0	0.0	0.0	0.0	0.0	5.0	15.0	0.0	9.0	0.0	0.0	0.0	1.0
MF-GB036	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-GB037	0.0	0.0	5.0	0.0	0.0	0.0	0.0	5.0	15.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-GB044	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	5.0	0.0	0.0	0.0	5.0
MF-GB047	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	10.0	0.0	0.0	0.0
MF-GB057	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	10.0	0.0	0.0	0.0
MF-GB058	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-GB061	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	9.0	0.0	0.0	0.0	0.0
MF-GB064	0.0	0.0	6.0	0.0	0.0	0.0	0.0	6.0	14.0	0.0	0.0	6.0	0.0	0.0	0.0
MF-GB074	3.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	2.0	0.0	0.0	0.0	8.0
MF-GB077	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-GB080	2.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	8.0	0.0	0.0	2.0
MF-GB091	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-GB109	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-GB113	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	14.0	0.0	1.0	0.0	0.0
MF-GB128	6.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	16.0	0.0	4.0	0.0	0.0	0.0	6.0
MF-GB145	6.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	4.0	0.0	0.0	6.0
MF-GB168	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-GB192	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-GB199	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	10.0	0.0	0.0	0.0
MF-GB221	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-GB228	2.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	8.0	0.0	0.0	0.0	2.0
MF-INB1-1	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-INB1-2	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-INB1-3	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	15.0	0.0	0.0	0.0	0.0
MF-INB1-4	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	20.0	2.0	0.0	0.0	0.0	1.0	0.0
MF-INB1-5	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-INB2-1	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-INB2-2	0.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	9.0	0.0	0.0	0.0	1.0
MF-INB2-4	0.0	0.0	0.0	18.0	0.0	0.0	0.0	1.0	19.0	0.0	19.0	0.0	0.0	0.0	0.0
MF-INB2-5	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	12.0	0.0	0.0	0.0	0.0
MF-INB3-1	0.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-INB3-2	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	20.0	0.0	7.0	0.0	0.0	0.0	0.0
MF-INB3-4	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-INB3-5	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	5.0	0.0	0.0	0.0	0.0
MF-INB4-1	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	3.0	0.0	0.0	0.0	7.0
MF-INB4-2	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	5.0	0.0	0.0	0.0	5.0
MF-INB4-3	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-INB4-4	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-INB4-5	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-INB5-1	0.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-INB5-2	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	6.0	0.0	0.0	0.0	4.0
MF-INB5-4	0.0	1.0	8.0	0.0	0.0	0.0	0.0	1.0	19.0	0.0	8.0	0.0	0.0	0.0	1.0
MF-INB6-1	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	20.0	0.0	12.0	0.0	0.0	0.0	0.0
MF-INB6-2	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	20.0	0.0	14.0	0.0	0.0	0.0	0.0
MF-INB6-3	0.0	0.0	10.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
MF-INB6-4	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	5.0	0.0	0.0	0.0	0.0
MF-INB6-5	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	5.0	0.0	0.0	0.0	0.0
MF-INB7-1	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-INB7-2	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	20.0	0.0	0.0	0.0	0.0
MF-INB7-3	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-INB7-4	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-INB7-5	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	12.0	0.0	0.0	0.0	0.0
MF-WC003	0.0	5.0	0.0	0.0	0.0	0.0	0.0	5.0	15.0	0.0	5.0	0.0	0.0	0.0	0.0
MF-WC005	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	5.0	0.0	0.0	0.0	0.0
MF-WC007	6.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	4.0	0.0	0.0	0.0	6.0
MF-WC008	5.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	5.0	0.0	0.0	0.0	5.0
MF-WC009	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	5.0	0.0	0.0	0.0	0.0
MF-WC011	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	5.0	0.0	0.0	0.0	0.0
MF-WC013	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-WC014	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	4.0	0.0	0.0	0.0	0.0
MF-WC016	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC017	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC020	0.0	5.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	15.0	0.0	0.0	0.0	0.0
MF-WC021	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-WC022	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-WC025	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-WC026	2.0	8.0	5.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	11.0	0.0	0.0	0.0	4.0
MF-WC027	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-WC029	0.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	8.0	0.0	0.0	0.0	2.0
MF-WC030	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC033	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC034	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	5.0	0.0	0.0	0.0	5.0
MF-WC036	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-WC038	0.0	0.0	5.0	4.0	0.0	0.0	0.0	0.0	20.0	0.0	9.0	0.0	0.0	0.0	0.0
MF-WC039	1.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	2.0	0.0	0.0	0.0	8.0
MF-WC040	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	6.0	0.0	0.0	0.0	4.0
MF-WC041	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC043	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC044	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	5.0	0.0	0.0	0.0	0.0
MF-WC045	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC046	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC047	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	6.0	0.0	0.0	0.0	4.0
MF-WC049	0.0	8.0	2.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-WC050	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC052	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC053	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC055	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	11.0	0.0	0.0	0.0	0.0
MF-WC056	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC058	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-WC061	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC062	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC063	2.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	6.0	0.0	0.0	0.0	4.0
MF-WC065	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	20.0	0.0	12.0	0.0	0.0	0.0	0.0
MF-WC070	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC073	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC074	0.0	8.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	18.0	0.0	0.0	0.0	0.0
MF-WC075	0.0	0.0	5.0	3.0	0.0	0.0	0.0	0.0	20.0	0.0	8.0	0.0	0.0	0.0	0.0
MF-WC076	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	8.0	0.0	0.0	0.0	0.0
MF-WC077	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC078	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	5.0	0.0	0.0	0.0	0.0
MF-WC079	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC080	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	3.0	0.0	0.0	0.0	0.0
MF-WC083	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC084	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-WC085	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-WC086	0.0	3.0	7.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-WC089	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-WC090	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC094	10.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC095	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC097	0.0	6.0	2.0	2.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	10.0	0.0	0.0	0.0
MF-WC100	4.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	5.0	0.0	0.0	0.0	5.0
MF-WC101	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	14.0	0.0	1.0	0.0	0.0
MF-WC102	0.0	1.0	9.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-WC104	1.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	5.0	0.0	0.0	0.0	5.0
MF-WC105	0.0	5.0	1.0	8.0	0.0	0.0	0.0	1.0	19.0	7.0	5.0	0.0	1.0	0.0	0.0
MF-WC106	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	15.0	0.0	0.0	0.0	0.0
MF-WC108	3.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	10.0
MF-WC110	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	12.0	0.0	0.0	0.0
MF-WC111	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	6.0	0.0	0.0	0.0
MF-WC115	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-WC116	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	5.0	0.0	0.0	0.0	5.0
