Sample,Latitude,Longitude,Status,Date,Time,Site,Location,Depth,UWA.con.number,Commonwealth.zone,State.zone,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Curtin.Observer,Curtin.length.analyst,Observer,Successful.count,Successful.length,Priority,Left.cam,Right.cam,Video.notes,Con.hdd.number,Raw.hdd.number,Habitat.image.saved,Vis.in.metres,Habitat.classification ,Length.analyst,Length.complete.date.yyyymmdd,Notes,Old.dates
12,-33.404,115.2616,Fished,2014-12-10,14:00:00,Geographe Bay,Geographe Bay,38.7,1,Special Purpose Zone (Mining Exclusion),NA,Hayley ,20200629,Brooke Gibbons & Claude,Lauren,Ronen,Hayley ,Yes,,Measure target spp,17,18,Y,2,,,,,,,,29.06.20
13,-33.4502,115.0925,Fished,2014-12-09,13:41:00,Geographe Bay,Geographe Bay,42.4,1,Special Purpose Zone (Mining Exclusion),NA,Hayley ,20200629,Brooke Gibbons & Claude,Lauren,Ronen,Hayley ,Yes,,Measure target spp,21,22,Y,1,,,,,,,"BLUE HOUSING, FACING UP A BIT, CHECK",29.06.20
14,-33.5297,115.413,Fished,2014-12-13,05:56:00,Geographe Bay,Geographe Bay,13.2,2,Multiple Use Zone,NA,Logan,20200708,Brooke Gibbons & Claude,Lizzy,Lauren,Logan,Yes,,Measure target spp,21,22,,4,,,,,,,,08.07.20
15,-33.5782,115.2148,Fished,2014-12-12,06:27:00,Geographe Bay,Geographe Bay,26.2,2,Habitat Protection Zone,NA,Logan,20200708,Brooke Gibbons & Claude,laura,Lauren,Logan,Yes,,Measure target spp,23,24,,4,,,,,,,,08.07.20
16,-33.3889,115.4986,Fished,2014-12-11,12:21:00,Geographe Bay,Geographe Bay,20,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200629,Brooke Gibbons & Claude,Lauren,Laura,Hayley,Yes,,Measure target spp,25,26,Y,1,,,,,,,,29.06.20
17,-33.3636,115.2327,Fished,2014-12-10,13:27:00,Geographe Bay,Geographe Bay,38.8,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200630,Brooke Gibbons & Claude,Laura,Tamy,Hayley,Yes,,Measure target spp,21,22,Y,2,,,,,,,,30.06.20
18,-33.3926,115.0981,Fished,2014-12-10,07:44:00,Geographe Bay,Geographe Bay,42.4,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200630,Brooke Gibbons & Claude,Lizzy,Ronen,Hayley,Yes,,Measure target spp,23,24,Y,1,,,,,,,,30.06.20
19,-33.4605,115.3618,Fished,2014-12-13,10:33:00,Geographe Bay,Geographe Bay,26,2,Special Purpose Zone (Mining Exclusion),NA,Logan,20200709,Brooke Gibbons & Claude,Lauren,Lauren,Logan,Yes,,Measure target spp,19,20,,4,,,,,,,Snapper present,9.7.20
20,-33.4339,115.2221,Fished,2014-12-10,11:09:00,Geographe Bay,Geographe Bay,36,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200701,Brooke Gibbons & Claude,Laura,Ronen,Hayley,Yes,,Measure target spp,5,6,Y,2,,,,,,,,1.7.20
21,-33.3857,115.3977,Fished,2014-12-14,06:54:00,Geographe Bay,Geographe Bay,15.7,,Special Purpose Zone (Mining Exclusion),NA,,,,Lauren,Laura,,No,No,,23,24,,BH,,,,,,,,
22,-33.5746,115.1807,Fished,2014-12-09,07:10:00,Geographe Bay,Geographe Bay,22.6,1,Multiple Use Zone,NA,test video,20220622,Claude,Lizzy,Ronen,test video,Yes,,Measure target spp,17,18,Y,2,,,,,,,,
23,-33.5042,115.4289,Fished,2014-12-13,06:13:00,Geographe Bay,Geographe Bay,13.6,,Multiple Use Zone,NA,,,,N/A,N/A,,No,No,,17,18,,,,,,,,,Facing up,
23,-33.5042,115.4289,Fished,2014-12-16,11:29:00,Geographe Bay,Geographe Bay,13.6,1,Multiple Use Zone,NA,Hayley,20200701,Brooke Gibbons & Claude,Lauren,Laura,Hayley,Yes,,Measure target spp,11,12,,3,,,,,,,,1.7.20
24,-33.4712,115.2862,Fished,2014-12-09,06:05:00,Geographe Bay,Geographe Bay,29.2,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200701,Brooke Gibbons & Claude,Lizzy,Laura,Hayley,Yes,,Measure target spp,9,10,Y,1,,,,,,,,1.7.20
25,-33.3833,115.0828,Fished,2014-12-10,07:10:00,Geographe Bay,Geographe Bay,42.5,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200702,Brooke Gibbons & Claude,Lauren,Lizzy,Hayley,Yes,,Measure target spp,19,20,Y,2,,,,,,,,2.7.20
26,-33.55,115.3236,Fished,2014-12-12,11:02:00,Geographe Bay,Geographe Bay,20.5,1,Multiple Use Zone,NA,Hayley,20200703,Brooke Gibbons & Claude,Laura,Damo,Hayley,Yes,,Measure target spp,9,10,,3,,,,,,,,3.7.20
27,-33.5464,115.1884,Fished,2014-12-09,07:00:00,Geographe Bay,Geographe Bay,28.2,1,Multiple Use Zone,NA,Hayley,20200703,Brooke Gibbons & Claude,Lauren,Ronen,Hayley,Yes,,Measure target spp,23,24,Y,1,,,,,,,1B=BLUE HOUSING,3.7.20
28,-33.4272,115.2873,Fished,2014-12-11,07:07:00,Geographe Bay,Geographe Bay,34,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200703,Brooke Gibbons & Claude,Lizzy,Lizzy,Hayley,Yes,,Measure target spp,15,16,Y,2,,,,,,,,3.7.20
29,-33.487,115.1764,Fished,2014-12-09,10:30:00,Geographe Bay,Geographe Bay,34.3,1,Multiple Use Zone,NA,Hayley,20200703,Logan Penman & Claude,Lauren,Lizzy,Hayley,Yes,,Measure target spp,23,24,Y,2,,,,,,,,3.7.20
30,-33.4241,115.3341,Fished,2014-12-11,06:37:00,Geographe Bay,Geographe Bay,31.8,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200713,Logan Penman & Claude,Lizzy,Lauren,Hayley,Yes,,Measure target spp,9,10,Y,2,,,,,,,,13.7.20
31,-33.5986,115.2369,Fished,2014-12-12,05:55:00,Geographe Bay,Geographe Bay,26.3,2,Multiple Use Zone,NA,Logan,20200709,Brooke Gibbons & Claude,laura,Lauren,Logan,Yes,,Measure target spp,15,16,,4,,,,,,,,9.7.20
32,-33.4808,115.4621,Fished,2014-12-13,07:53:00,Geographe Bay,Geographe Bay,14.1,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200713,Logan Penman & Claude,Laura,Lizzy,Hayley,Yes,,Measure target spp,11,12,,3,,,,,,,,13.7.20
33,-33.3528,115.3205,Fished,2014-12-11,08:54:00,Geographe Bay,Geographe Bay,34.1,3,Special Purpose Zone (Mining Exclusion),NA,Molly,20220711,Claude,Lauren,N/A,Molly,Yes,No,,13,14,R=FAIL,1L,,,,,,,,
34,-33.3845,115.0739,Fished,2014-12-10,07:05:00,Geographe Bay,Geographe Bay,43,3,Special Purpose Zone (Mining Exclusion),NA,Curtin,20220713,Claude,Lizzy,N/A,Curtin,Yes,No,,5,6,Right=FAIL,2L,,,,,,,,
35,-33.4055,115.4157,Fished,2014-12-13,11:14:00,Geographe Bay,Geographe Bay,27.9,3,Special Purpose Zone (Mining Exclusion),NA,Logan,20200819,Brooke Gibbons & Claude,Lizzy,Lizzy,Logan,Yes,,Measure target spp,25,26,,5,,,,,,,,19.08.20
36,-33.4269,115.2077,Fished,2014-12-10,11:17:00,Geographe Bay,Geographe Bay,38.2,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200713,Logan Penman & Claude,Laura,Lizzy,Hayley,Yes,,Measure target spp,13,14,Y,2,,,,,,,,13.7.20
37,-33.3585,115.3721,Fished,2014-12-11,09:11:00,Geographe Bay,Geographe Bay,30.3,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200714,Logan Penman & Claude,Lizzy,Laura,Hayley,Yes,,Measure target spp,19,20,Y,1,,,,,,,,14.07.20
38,-33.5037,115.1274,Fished,2014-12-09,12:45:00,Geographe Bay,Geographe Bay,34.5,1,Multiple Use Zone,NA,Hayley ,20200716,Logan Penman & Claude,Lizzy,Ronen,Hayley ,Yes,,Measure target spp,11,12,Y,1,,,,,,,,16.07.20
39,-33.465,115.4329,Fished,2014-12-11,13:20:00,Geographe Bay,Geographe Bay,19.8,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200716,Logan Penman & Claude,Lizzy,Laura,Hayley,Yes,,Measure target spp,15,16,Y,1,,,,,,,,16.07.20
40,-33.472,115.2287,Fished,2014-12-09,09:57:00,Geographe Bay,Geographe Bay,33.7,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200716,Logan Penman & Claude,Lauren,Laura,Hayley,Yes,,Measure target spp,19,20,Y,1,,,,,,,,16.07.20
41,-33.3679,115.0986,Fished,2014-12-10,07:35:00,Geographe Bay,Geographe Bay,42.5,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200716,Logan Penman & Claude,Laura,Damo,Hayley,Yes,,Measure target spp,17,18,Y,1,,,,,,,,16.07.20
42,-33.5425,115.3862,No-take,2014-12-12,13:13:00,Geographe Bay,Geographe Bay,13,2,National Park Zone,NA,Logan,20200713,Brooke Gibbons & Claude,laura,Lauren,Logan,Yes,,Measure target spp,23,24,,4,,,,,,,,13.07.20
44,-33.3984,115.3097,Fished,2014-12-11,06:54:00,Geographe Bay,Geographe Bay,34.4,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200717,Logan Penman & Claude,Lauren,Lauren,Hayley,Yes,,Measure target spp,21,22,Y,2,,,,,,,,17.07.20
45,-33.4446,115.1317,Fished,2014-12-09,13:28:00,Geographe Bay,Geographe Bay,41.1,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200717,Logan Penman & Claude,Lauren,Laura,Hayley,Yes,,Measure target spp,5,6,Y,1,,,,,,,,17.07.20
46,-33.4028,115.3493,Fished,2014-12-14,06:35:00,Geographe Bay,Geographe Bay,18,,Special Purpose Zone (Mining Exclusion),NA,,,,Lauren,Laura,,No,No,,19,20,,BH,,,,,,,, 
47,-33.5485,115.2878,Fished,2014-12-12,10:29:00,Geographe Bay,Geographe Bay,24.3,1,Multiple Use Zone,NA,Hayley ,20200717,Logan Penman & Claude,Lauren,Laura,Hayley ,Yes,,Measure target spp,15,16,,3,,,,,,,,17.07.20
48,-33.4028,115.5134,Fished,2014-12-11,12:31:00,Geographe Bay,Geographe Bay,17.2,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200717,Logan Penman & Claude,Lizzy,Lauren,Hayley,Yes,,Measure target spp,23,24,Y,2,,,,,,,Rear fail,17.07.20
49,-33.3809,115.2721,Fished,2014-12-10,13:51:00,Geographe Bay,Geographe Bay,37.7,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200717,Logan Penman & Claude,Laura,Lizzy,Hayley,Yes,,Measure target spp,9,10,Y,2,,,,,,,,17.07.20
50,-33.4108,115.1742,Fished,2014-12-10,10:29:00,Geographe Bay,Geographe Bay,40.5,3,Special Purpose Zone (Mining Exclusion),NA,Curtin,20220713,Claude,Lizzy,N/A,Curtin,Yes,No,,17,18,R=FAIL WHEN HIT SEABED,2L,,,,,,,,
51,-33.4316,115.4137,Fished,2014-12-13,10:52:00,Geographe Bay,Geographe Bay,25.4,1,Special Purpose Zone (Mining Exclusion),NA,Curtin,20220707,Claude,Damon,N/A,,Yes,No,,17,18,R=FAIL,,,,,,,,Snapper come in late,
52,-33.4927,115.2982,Fished,2014-12-09,06:14:00,Geographe Bay,Geographe Bay,29.7,3,Multiple Use Zone,NA,Curtin,20220708,Claude,Lizzy,N/A,Curtin,Yes,No,,19,20,L YES R FAIL,1 Left only,,,,,,,,
53,-33.3582,115.3565,Fished,2014-12-11,09:04:00,Geographe Bay,Geographe Bay,31.4,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200719,Logan Penman & Claude,Lizzy,Ronen,Hayley,Yes,,Measure target spp,21,22,Y,1,,,,,,,,19.07.20
54,-33.5131,115.1532,Fished,2014-12-09,10:47:00,Geographe Bay,Geographe Bay,33.1,1,Multiple Use Zone,NA,Hayley ,20200719,Logan Penman & Claude,Lizzy,Laura,Hayley ,Yes,,Measure target spp,25,26,Y,1,,,,,,,,19.07.20
55,-33.5709,115.2801,Fished,2014-12-12,09:05:00,Geographe Bay,Geographe Bay,22.2,1,Multiple Use Zone,NA,Hayley,20200719,Logan Penman & Claude,Lizzy,Ronen,Hayley,Yes,,Measure target spp,15,16,,2,,,,,,,REAR FAIL,19.07.20
56,-33.4953,115.2224,Fished,2014-12-09,09:49:00,Geographe Bay,Geographe Bay,32,3,Multiple Use Zone,NA,Curtin,20220708,Claude,Lizzy,N/A,Curtin,Yes,No,,5,6,Right = Fail,1 Left only,,,,,,,,
58,-33.5697,115.3796,No-take,2014-12-12,13:02:00,Geographe Bay,Geographe Bay,13.5,1,National Park Zone,NA,Hayley,20200719,Logan Penman & Claude,Lauren,Laura,Hayley,Yes,,Measure target spp,25,26,,3,,,,,,,,19.07.20
60,-33.3626,115.5049,Fished,2014-12-11,09:55:00,Geographe Bay,Geographe Bay,21.5,1,Special Purpose Zone (Mining Exclusion),NA,Hayley ,20200720,Logan Penman & Claude,Lizzy,Laura,Hayley ,Yes,,Measure target spp,11,12,Y,1,,,,,,,,20.07.20
61,-33.4993,115.1345,Fished,2014-12-09,12:50:00,Geographe Bay,Geographe Bay,34.8,1,Multiple Use Zone,NA,Hayley,20200720,Logan Penman & Claude,Lauren,Ronen,Hayley,Yes,,Measure target spp,23,24,Y,1,,,,,,,,20.07.20
62,-33.4505,115.3307,Fished,2014-12-11,06:24:00,Geographe Bay,Geographe Bay,29.3,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200721,Logan Penman & Claude,Lizzy,Tamy,Hayley,Yes,,Measure target spp,23,24,Y,2,,,,,,,,21.07.20
63,-33.5039,115.2562,Fished,2014-12-09,06:29:00,Geographe Bay,Geographe Bay,30,1,Multiple Use Zone,NA,Hayley,20200721,Logan Penman & Claude,Lauren,Lauren,Hayley,Yes,,Measure target spp,21,22,Y,2,,,,,,,BACK REC TO CAM|BLUE HOUSING,21.07.20
64,-33.4364,115.5095,Fished,2014-12-11,12:54:00,Geographe Bay,Geographe Bay,14.2,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200721,Logan Penman & Claude,Lauren,Laura,Hayley,Yes,,Measure target spp,5,6,Y,1,,,,,,,,21.07.20
65,-33.3597,115.2048,Fished,2014-12-10,13:15:00,Geographe Bay,Geographe Bay,39.4,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200721,Logan Penman & Claude,Lauren,Ronen,Hayley,Yes,,Measure target spp,15,16,Y,2,,,,,,,,21.07.20
67,-33.4783,115.0859,Fished,2014-12-13,10:10:00,Geographe Bay,Geographe Bay,21.4,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200722,Logan Penman & Claude,Lauren,Damo,Hayley,Yes,,Measure target spp,13,14,,5,,,,,,,,22.07.20 
68,-33.3882,115.2426,Fished,41983,0.588194444,Geographe Bay,Geographe Bay,38.9,3,Special Purpose Zone (Mining Exclusion),NA,Molly,20220711,Claude,Lauren,N/A,Molly,Yes,No,,23,24,R=CUT OUT at 12min,2,,,,,,,,R camera finishes at 10mins
69,-33.3534,115.404,Fished,2014-12-11,09:23:00,Geographe Bay,Geographe Bay,28.7,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200723,Logan Penman & Claude,Lizzy,Lauren,Hayley,Yes,,Measure target spp,9,10,Y,1,,,,,,,,23.07.20
70,-33.4159,115.1514,Fished,2014-12-10,10:46:00,Geographe Bay,Geographe Bay,41,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200723,Logan Penman & Claude,Lauren,Lizzy,Hayley,Yes,,Measure target spp,9,10,Y,2,,,,,,,,23.07.20
71,-33.4271,115.4287,Fished,2014-12-13,10:58:00,Geographe Bay,Geographe Bay,24.4,3,Special Purpose Zone (Mining Exclusion),NA,Logan,20200819,Brooke Gibbons & Claude,Lizzy,Damo,Logan,Yes,,Measure target spp,23,24,,5,,,,,,,,19.08.20
72,-33.4625,115.3224,Fished,2014-12-11,06:07:00,Geographe Bay,Geographe Bay,29.4,1,Special Purpose Zone (Mining Exclusion),NA,Hayley ,20200723,Logan Penman & Claude,Lizzy,Ronen,Hayley ,Yes,,Measure target spp,25,26,Y,2,,,,,,,,23.07.20
73,-33.3718,115.1456,Fished,2014-12-10,10:10:00,Geographe Bay,Geographe Bay,41.5,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200723,Logan Penman & Claude,Lauren,Lizzy,Hayley,Yes,,Measure target spp,11,12,Y,2,,,,,,,,23.07.20
75,-33.5893,115.2946,Fished,2014-12-12,08:52:00,Geographe Bay,Geographe Bay,16.6,1,Multiple Use Zone,NA,Hayley,20200727,Logan Penman & Claude,Lauren,Lizzy,Hayley,Yes,,Measure target spp,21,22,,2,,,,,,,,27.07.20
76,-33.413,115.2847,Fished,2014-12-11,07:01:00,Geographe Bay,Geographe Bay,35.2,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200727,Logan Penman & Claude,Lizzy,Lizzy,Hayley,Yes,,Measure target spp,13,14,Y,2,,,,,,,,27.07.20
77,-33.4558,115.1029,Fished,2014-12-09,13:50:00,Geographe Bay,Geographe Bay,40.8,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200727,Logan Penman & Claude,Lauren,Laura,Hayley,Yes,,Measure target spp,13,14,Y,1,,,,,,,,27.07.20
78,-33.5076,115.4438,Fished,2014-12-13,06:18:00,Geographe Bay,Geographe Bay,13.4,2,Multiple Use Zone,NA,Logan,20200713,Brooke Gibbons & Claude,Lauren,Lauren,Logan,Yes,,Measure target spp,23,24,,4,,,,,,,,13.07.20
79,-33.5874,115.2309,Fished,2014-12-12,08:16:00,Geographe Bay,Geographe Bay,18.5,1,Habitat Protection Zone,NA,Hayley,20200727,Logan Penman & Claude,Lauren,Lizzy,Hayley,Yes,,Measure target spp,9,10,,2,,,,,,,,27.07.20
80,-33.3516,115.5195,NA,2014-12-11,10:01:00,Geographe Bay,Geographe Bay,20.7,1,NA,NA,Hayley/Molly,20220705,Claude,Lauren,Laura,Hayley/Molly,No,No,Measure target spp,25,26,N,1,,,,,,,"Left and right cams cut out in less than 10 mins, some fish present in this period. Finishes at 8 minutes","28.07.20 - Finishes at 8 minutes, R cam finishes at 37mins"
81,-33.3788,115.2305,Fished,2014-12-10,14:18:00,Geographe Bay,Geographe Bay,38.9,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200728,Logan Penman & Claude,Laura,Tamy,Hayley,Yes,,Measure target spp,25,26,Y,2,,,,,,,,28.07.20
82,-33.3955,115.1103,Fished,2014-12-10,07:49:00,Geographe Bay,Geographe Bay,42.6,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200728,Logan Penman & Claude,laura,Lizzy,Hayley,Yes,,Measure target spp,11,12,Y,1,,,,,,,,28.07.20
83,-33.4694,115.3791,Fished,2014-12-13,10:26:00,Geographe Bay,Geographe Bay,24.6,3,Special Purpose Zone (Mining Exclusion),NA,Logan,20200829,Brooke Gibbons & Claude,Lauren,Damo,Logan,Yes,,Measure target spp,5,6,,5,,,,,,,,29.08.20
84,-33.3965,115.1924,Fished,2014-12-10,11:28:00,Geographe Bay,Geographe Bay,41,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200728,Logan Penman & Claude,Lizzy,Ronen,Hayley,Yes,,Measure target spp,15,16,Y,2,,,,,,,Rear fail,28.07.20
86,-33.5405,115.1785,Fished,2014-12-09,07:24:00,Geographe Bay,Geographe Bay,28.6,1,Multiple Use Zone,NA,Hayley,20200729,Logan Penman & Claude,Lizzy,Ronen,Hayley,Yes,,Measure target spp,15,16,Y,2,,,,,,,,29.07.20
87,-33.4896,115.4589,Fished,2014-12-13,07:49:00,Geographe Bay,Geographe Bay,13,1,Multiple Use Zone,NA,Hayley,20200729,Logan Penman & Claude,Lauren,Damo,Hayley,Yes,,Measure target spp,25,26,,3,,,,,,,,29.07.20
88,-33.5011,115.2145,Fished,2014-12-09,09:45:00,Geographe Bay,Geographe Bay,31.4,1,Multiple Use Zone,NA,Hayley,20200729,Logan Penman & Claude,Laura,Lizzy,Hayley,Yes,,Measure target spp,21,22,Y,1,,,,,,,,29.07.20
89,-33.3828,115.0564,Fished,2014-12-10,06:58:00,Geographe Bay,Geographe Bay,43.9,1,Special Purpose Zone (Mining Exclusion),NA,Molly,20220705,Claude,Lauren,Lizzy,Molly,Yes,,Measure target spp,21,22,Y,2,,,,,,,,
90,-33.5333,115.3225,Fished,2014-12-12,10:53:00,Geographe Bay,Geographe Bay,22,1,Multiple Use Zone,NA,Hayley  ,20200731,Logan Penman & Claude,Laura,Damo,Hayley  ,Yes,,Measure target spp,5,6,,3,,,,,,,,31.07.21
91,-33.5396,115.2061,Fished,2014-12-09,06:54:00,Geographe Bay,Geographe Bay,29.8,1,Habitat Protection Zone,NA,Hayley  ,20200802,Logan Penman & Claude,Laura,Lizzy,Hayley  ,Yes,,Measure target spp,11,12,Y,1,,,,,,,"""SKIPPERS CHOICE""",2.8.20
92,-33.4176,115.315,Fished,2014-12-11,06:43:00,Geographe Bay,Geographe Bay,33,1,Special Purpose Zone (Mining Exclusion),NA,Hayley  ,20200803,Logan Penman & Claude,Lauren,Lauren,Hayley  ,Yes,,Measure target spp,19,20,Y,2,,,,,,,,3.8.20
93,-33.4813,115.1528,Fished,2014-12-09,12:59:00,Geographe Bay,Geographe Bay,36,3,Special Purpose Zone (Mining Exclusion),NA,Curtin,20220708,Claude,Laura,N/A,Curtin,Yes,No,,17,18,Y,1,,,,,,,CAM 17 FLOODED,
95,-33.5175,115.3155,Fished,2014-12-12,10:42:00,Geographe Bay,Geographe Bay,24.9,1,Multiple Use Zone,NA,Hayley ,20200820,Logan Penman & Claude,Lauren,Laura,Hayley ,Yes,,Measure target spp,13,14,,3,,,,,,,Leftcam cuts out after ~ 10 mins,2.8.20
96,-33.4489,115.4808,Fished,2014-12-11,13:04:00,Geographe Bay,Geographe Bay,15.9,1,Special Purpose Zone (Mining Exclusion),NA,Hayley ,20200820,Logan Penman & Claude,Lauren,Lizzy,Hayley ,Yes,,Measure target spp,21,22,Y,1,,,,,,,,2.8.20
97,-33.3847,115.2927,Fished,2014-12-11,08:43:00,Geographe Bay,Geographe Bay,35.6,1,Special Purpose Zone (Mining Exclusion),NA,Hayley ,20200820,Logan Penman & Claude,Lizzy,Ronen,Hayley ,Yes,,Measure target spp,15,16,Y,2,,,,,,,,2.8.20
98,-33.434,115.1727,Fished,2014-12-10,10:56:00,Geographe Bay,Geographe Bay,38,3,Special Purpose Zone (Mining Exclusion),NA,Curtin,20220713,Claude,Lizzy,N/A,Curtin,Yes,No,,19,20,L=FAIL R=YES,2,,,,,,,Leftcam failed ~10s,
101,-33.3886,115.3768,Fished,2014-12-14,06:47:00,Geographe Bay,Geographe Bay,16.7,,Special Purpose Zone (Mining Exclusion),NA,,,,Lizzy,Damo,,No,No,,17,18,,BH,,,,,,,,
100,-33.4325,115.2142,Fished,2014-12-10,11:14:00,Geographe Bay,Geographe Bay,36.7,1,Special Purpose Zone (Mining Exclusion),NA,Molly,20220701,Claude,Lauren,N/A,Molly,Yes,No,,21,22,Y,2,,,,,,,Cals bad,
102,-33.5185,115.1196,Fished,2014-12-09,12:39:00,Geographe Bay,Geographe Bay,34.4,1,Multiple Use Zone,NA,Hayley,20200803,Logan Penman & Claude,Lizzy,Laura,Hayley,Yes,,Measure target spp,25,26,Y,1,,,,,,,,3.8.20
103,-33.4581,115.4547,Fished,2014-12-11,13:12:00,Geographe Bay,Geographe Bay,18.4,1,Special Purpose Zone (Mining Exclusion),NA,Hayley,20200803,Logan Penman & Claude,Lauren,Laura,Hayley,Yes,,Measure target spp,13,14,Y,1,,,,,,,,3.8.20
104,-33.4597,115.2451,Fished,2014-12-09,10:04:00,Geographe Bay,Geographe Bay,33.3,1,Special Purpose Zone (Mining Exclusion),NA,Molly,20220707,Claude,Lauren,Lizzy,Molly,Yes,,Measure target spp,9,10,Y,1,,,,,,,"Leftcam cuts out after ~ 20 mins, rightcam analysed instead",4.8.20 - Finishes at 20 mins
106,-33.5783,115.3451,Fished,2014-12-12,11:27:00,Geographe Bay,Geographe Bay,13.5,2,Multiple Use Zone,NA,Logan,20200714,Brooke Gibbons & Claude,laura,Lauren,Logan,Yes,,Measure target spp,25,26,,4,,,,,,,,14.07.20
