Sample,Family,Genus,Species,Count
MF-CNB5-3,Labridae,Coris,auricularis,1
MF-CNB5-3,Monacanthidae,Meuschenia,galii,1
MF-CNB5-3,Monacanthidae,Meuschenia,hippocrepis,2
MF-CNB5-3,Myliobatidae,Myliobatis,australis,1
MF-CNB5-3,Labridae,Notolabrus,parilus,1
MF-CNB5-3,Odacidae,Odax,cyanomelas,1
MF-CNB5-3,Labridae,Ophthalmolepis,lineolatus,14
MF-CNB5-3,Labridae,Pictilabrus,laticlavius,1
MF-CNB5-3,Carangidae,Pseudocaranx,spp,7
MF-CNB5-3,Labridae,Pseudolabrus,biserialis,4
MF-CNB5-3,Odacidae,Siphonognathus,beddomei,1
MF-CNB5-4,Labridae,Coris,auricularis,1
MF-CNB5-4,Monacanthidae,Meuschenia,galii,2
MF-CNB5-4,Myliobatidae,Myliobatis,australis,1
MF-CNB5-4,Scorpididae,Neatypus,obliquus,1
MF-CNB5-4,Labridae,Notolabrus,parilus,2
MF-CNB5-4,Odacidae,Odax,cyanomelas,1
MF-CNB5-4,Labridae,Ophthalmolepis,lineolatus,6
MF-CNB5-4,Labridae,Pseudolabrus,biserialis,3
MF-CNB5-4,Scorpididae,Scorpis,aequipinnis,1
MF-CNB5-4,Carangidae,Seriola,hippos,1
MF-CNB5-5,Labridae,Bodianus,frenchii,1
MF-CNB5-5,Pomacentridae,Chromis,klunzingeri,26
MF-CNB5-5,Labridae,Coris,auricularis,1
MF-CNB5-5,Monacanthidae,Meuschenia,hippocrepis,3
MF-CNB5-5,Labridae,Notolabrus,parilus,1
MF-CNB5-5,Labridae,Ophthalmolepis,lineolatus,9
MF-CNB5-5,Serranidae,Othos,dentex,1
MF-CNB5-5,Pomacentridae,Parma,mccullochi,1
MF-CNB5-5,Carangidae,Pseudocaranx,spp,5
MF-CNB5-5,Labridae,Pseudolabrus,biserialis,4
MF-CNB5-5,Plesiopidae,Trachinops,noarlungae,54
MF-CNB6-1,Ostraciidae,Anoplocapros,lenticularis,1
MF-CNB6-1,Labridae,Austrolabrus,maculatus,1
MF-CNB6-1,Serranidae,Caesioperca,rasor,2
MF-CNB6-1,Berycidae,Centroberyx,lineatus,1
MF-CNB6-1,Labridae,Coris,auricularis,1
MF-CNB6-1,Muraenidae,Gymnothorax,prasinus,1
MF-CNB6-1,Heterodontidae,Heterodontus,portusjacksoni,1
MF-CNB6-1,Kyphosidae,Kyphosus,sydneyanus,1
MF-CNB6-1,Monacanthidae,Meuschenia,galii,3
MF-CNB6-1,Monacanthidae,Meuschenia,hippocrepis,6
MF-CNB6-1,Scorpididae,Neatypus,obliquus,1
MF-CNB6-1,Labridae,Notolabrus,parilus,1
MF-CNB6-1,Labridae,Ophthalmolepis,lineolatus,6
MF-CNB6-1,Pomacentridae,Parma,mccullochi,1
MF-CNB6-1,Labridae,Pictilabrus,laticlavius,1
MF-CNB6-1,Carangidae,Pseudocaranx,spp,1
MF-CNB6-1,Labridae,Pseudolabrus,biserialis,6
MF-CNB6-1,Scorpididae,Scorpis,aequipinnis,2
MF-CNB6-2,Serranidae,Acanthistius,serratus,1
MF-CNB6-2,Labridae,Austrolabrus,maculatus,2
MF-CNB6-2,Labridae,Bodianus,frenchii,1
MF-CNB6-2,Chaetodontidae,Chelmonops,curiosus,1
MF-CNB6-2,Labridae,Coris,auricularis,2
MF-CNB6-2,Dinolestidae,Dinolestes,lewini,15
MF-CNB6-2,Girellidae,Girella,tephraeops,1
MF-CNB6-2,Muraenidae,Gymnothorax,prasinus,1
MF-CNB6-2,Monacanthidae,Meuschenia,galii,1
MF-CNB6-2,Monacanthidae,Meuschenia,hippocrepis,2
MF-CNB6-2,Cheilodactylidae,Nemadactylus,valenciennesi,1
MF-CNB6-2,Labridae,Notolabrus,parilus,1
MF-CNB6-2,Odacidae,Odax,cyanomelas,1
MF-CNB6-2,Labridae,Ophthalmolepis,lineolatus,8
MF-CNB6-2,Serranidae,Othos,dentex,1
MF-CNB6-2,Pomacentridae,Parma,mccullochi,1
MF-CNB6-2,Carangidae,Pseudocaranx,spp,10
MF-CNB6-2,Labridae,Pseudolabrus,biserialis,6
MF-CNB6-2,Scorpididae,Tilodon,sexfasciatus,1
MF-CNB6-2,Rhinobatidae,Trygonorrhina,fasciata,1
MF-CNB6-3,Labridae,Austrolabrus,maculatus,1
MF-CNB6-3,Labridae,Bodianus,frenchii,1
MF-CNB6-3,Chaetodontidae,Chelmonops,curiosus,1
MF-CNB6-3,Labridae,Coris,auricularis,1
MF-CNB6-3,Muraenidae,Gymnothorax,prasinus,1
MF-CNB6-3,Monacanthidae,Meuschenia,galii,1
MF-CNB6-3,Scorpaenidae,Neosebastes,pandus,1
MF-CNB6-3,Odacidae,Odax,cyanomelas,1
MF-CNB6-3,Labridae,Ophthalmolepis,lineolatus,6
MF-CNB6-3,Parascylliidae,Parascyllium,ferrugineum,1
MF-CNB6-3,Labridae,Pictilabrus,laticlavius,1
MF-CNB6-3,Carangidae,Pseudocaranx,spp,2
MF-CNB6-3,Labridae,Pseudolabrus,biserialis,2
MF-CNB6-4,Berycidae,Centroberyx,lineatus,2
MF-CNB6-4,Labridae,Coris,auricularis,1
MF-CNB6-4,Glaucosomatidae,Glaucosoma,hebraicum,1
MF-CNB6-4,Muraenidae,Gymnothorax,prasinus,1
MF-CNB6-4,Monacanthidae,Meuschenia,hippocrepis,1
MF-CNB6-4,Scorpididae,Neatypus,obliquus,2
MF-CNB6-4,Labridae,Notolabrus,parilus,1
MF-CNB6-4,Odacidae,Odax,cyanomelas,2
MF-CNB6-4,Labridae,Ophthalmolepis,lineolatus,8
MF-CNB6-4,Carangidae,Pseudocaranx,spp,6
MF-CNB6-4,Labridae,Pseudolabrus,biserialis,4
MF-CNB7-1,Labridae,Austrolabrus,maculatus,1
MF-CNB7-1,Labridae,Bodianus,frenchii,1
MF-CNB7-1,Monacanthidae,Meuschenia,galii,1
MF-CNB7-1,Cheilodactylidae,Nemadactylus,valenciennesi,1
MF-CNB7-1,Labridae,Notolabrus,parilus,2
MF-CNB7-1,Odacidae,Odax,cyanomelas,1
MF-CNB7-1,Labridae,Ophthalmolepis,lineolatus,4
MF-CNB7-1,Serranidae,Othos,dentex,1
MF-CNB7-1,Pomacentridae,Parma,mccullochi,1
MF-CNB7-1,Labridae,Pictilabrus,laticlavius,1
MF-CNB7-1,Carangidae,Pseudocaranx,spp,10
MF-CNB7-1,Labridae,Pseudolabrus,biserialis,5
MF-CNB7-1,Urolophidae,Trygonoptera,ovalis,1
MF-CNB7-2,Labridae,Bodianus,frenchii,1
MF-CNB7-2,Serranidae,Caesioperca,rasor,5
MF-CNB7-2,Chaetodontidae,Chelmonops,curiosus,2
MF-CNB7-2,Pomacentridae,Chromis,klunzingeri,8
MF-CNB7-2,Serranidae,Epinephelides,armatus,1
MF-CNB7-2,Muraenidae,Gymnothorax,prasinus,1
MF-CNB7-2,Monacanthidae,Meuschenia,flavolineata,1
MF-CNB7-2,Monacanthidae,Meuschenia,galii,1
MF-CNB7-2,Monacanthidae,Meuschenia,hippocrepis,1
MF-CNB7-2,Myliobatidae,Myliobatis,australis,1
MF-CNB7-2,Scorpididae,Neatypus,obliquus,8
MF-CNB7-2,Labridae,Notolabrus,parilus,1
MF-CNB7-2,Labridae,Ophthalmolepis,lineolatus,2
MF-CNB7-2,Serranidae,Othos,dentex,14
MF-CNB7-2,Pomacentridae,Parma,mccullochi,1
MF-CNB7-2,Carangidae,Pseudocaranx,spp,2
MF-CNB7-2,Labridae,Pseudolabrus,biserialis,7
MF-CNB7-3,Labridae,Austrolabrus,maculatus,1
MF-CNB7-3,Serranidae,Epinephelides,armatus,1
MF-CNB7-3,Monacanthidae,Meuschenia,flavolineata,2
MF-CNB7-3,Monacanthidae,Meuschenia,galii,1
MF-CNB7-3,Monacanthidae,Meuschenia,hippocrepis,1
MF-CNB7-3,Myliobatidae,Myliobatis,australis,1
MF-CNB7-3,Labridae,Notolabrus,parilus,1
MF-CNB7-3,Odacidae,Odax,cyanomelas,1
MF-CNB7-3,Labridae,Ophthalmolepis,lineolatus,12
MF-CNB7-3,Orectolobidae,Orectolobus,maculatus,1
MF-CNB7-3,Labridae,Pictilabrus,laticlavius,2
MF-CNB7-3,Carangidae,Pseudocaranx,spp,2
MF-CNB7-3,Labridae,Pseudolabrus,biserialis,5
MF-CNB7-4,Muraenidae,Gymnothorax,prasinus,1
MF-CNB7-4,Monacanthidae,Meuschenia,galii,1
MF-CNB7-4,Myliobatidae,Myliobatis,australis,1
MF-CNB7-4,Labridae,Notolabrus,parilus,2
MF-CNB7-4,Odacidae,Odax,cyanomelas,1
MF-CNB7-4,Labridae,Ophthalmolepis,lineolatus,8
MF-CNB7-4,Labridae,Pictilabrus,laticlavius,1
MF-CNB7-4,Carangidae,Pseudocaranx,spp,3
MF-CNB7-4,Labridae,Pseudolabrus,biserialis,1
MF-CNB7-4,Carangidae,Seriola,hippos,1
MF-CNB7-5,Serranidae,Caesioperca,rasor,5
MF-CNB7-5,Pomacentridae,Chromis,klunzingeri,6
MF-CNB7-5,Labridae,Coris,auricularis,1
MF-CNB7-5,Serranidae,Epinephelides,armatus,1
MF-CNB7-5,Girellidae,Girella,tephraeops,1
MF-CNB7-5,Monacanthidae,Meuschenia,galii,1
MF-CNB7-5,Monacanthidae,Meuschenia,hippocrepis,2
MF-CNB7-5,Myliobatidae,Myliobatis,australis,1
MF-CNB7-5,Cheilodactylidae,Nemadactylus,valenciennesi,1
MF-CNB7-5,Labridae,Notolabrus,parilus,1
MF-CNB7-5,Labridae,Ophthalmolepis,lineolatus,5
MF-CNB7-5,Sparidae,Pagrus,auratus,1
MF-CNB7-5,Pomacentridae,Parma,mccullochi,1
MF-CNB7-5,Carangidae,Pseudocaranx,spp,3
MF-CNB7-5,Labridae,Pseudolabrus,biserialis,4
MF-CNB7-5,Carangidae,Seriola,hippos,1
MF-CNB7-5,Plesiopidae,Trachinops,noarlungae,100
MF-GB018,Monacanthidae,Acanthaluteres,spilomelanurus,6
MF-GB018,Labridae,Coris,auricularis,3
MF-GB018,Heterodontidae,Heterodontus,portusjacksoni,1
MF-GB018,Scorpididae,Neatypus,obliquus,1
MF-GB018,Labridae,Notolabrus,parilus,1
MF-GB018,Labridae,Ophthalmolepis,lineolatus,3
MF-GB018,Gerreidae,Parequula,melbournensis,8
MF-GB018,Carangidae,Pseudocaranx,spp,17
MF-GB018,Urolophidae,Trygonoptera,ovalis,1
MF-GB018,Rhinobatidae,Trygonorrhina,fasciata,1
MF-GB018,Mullidae,Upeneichthys,vlamingii,3
MF-GB019,Monacanthidae,Acanthaluteres,spilomelanurus,11
MF-GB019,Labridae,Coris,auricularis,7
MF-GB019,Dasyatidae,Dasyatis,brevicaudata,1
MF-GB019,Labridae,Notolabrus,parilus,1
MF-GB019,Labridae,Ophthalmolepis,lineolatus,3
MF-GB019,Gerreidae,Parequula,melbournensis,8
MF-GB019,Carangidae,Pseudocaranx,spp,9
MF-GB019,Urolophidae,Trygonoptera,ovalis,1
MF-GB019,Rhinobatidae,Trygonorrhina,fasciata,2
MF-GB019,Mullidae,Upeneichthys,vlamingii,11
MF-GB036,Labridae,Bodianus,frenchii,1
MF-GB036,Pomacentridae,Chromis,klunzingeri,3
MF-GB036,Labridae,Coris,auricularis,6
MF-GB036,Dasyatidae,Dasyatis,brevicaudata,1
MF-GB036,Heterodontidae,Heterodontus,portusjacksoni,1
MF-GB036,Monacanthidae,Meuschenia,flavolineata,1
MF-GB036,Monacanthidae,Meuschenia,galii,1
MF-GB036,Myliobatidae,Myliobatis,australis,2
MF-GB036,Scorpididae,Neatypus,obliquus,2
MF-GB036,Labridae,Notolabrus,parilus,3
MF-GB036,Labridae,Ophthalmolepis,lineolatus,6
MF-GB036,Pomacentridae,Parma,mccullochi,1
MF-GB036,Carangidae,Pseudocaranx,spp,5
MF-GB036,Labridae,Pseudolabrus,biserialis,4
MF-GB036,Carangidae,Seriola,hippos,1
MF-GB036,Rhinobatidae,Trygonorrhina,fasciata,1
MF-GB036,Mullidae,Upeneichthys,vlamingii,2
MF-GB037,Labridae,Coris,auricularis,3
MF-GB037,Scorpididae,Neatypus,obliquus,3
MF-GB037,Labridae,Notolabrus,parilus,1
MF-GB037,Labridae,Ophthalmolepis,lineolatus,6
MF-GB037,Gerreidae,Parequula,melbournensis,2
MF-GB037,Carangidae,Pseudocaranx,spp,8
MF-GB037,Labridae,Pseudolabrus,biserialis,1
MF-GB037,Monacanthidae,Scobinichthys,granulatus,1
MF-GB037,Rhinobatidae,Trygonorrhina,fasciata,1
MF-GB037,Mullidae,Upeneichthys,vlamingii,7
MF-GB043,Monacanthidae,Acanthaluteres,spilomelanurus,2
MF-GB043,Labridae,Coris,auricularis,3
MF-GB043,Myliobatidae,Myliobatis,australis,1
MF-GB043,Labridae,Ophthalmolepis,lineolatus,1
MF-GB043,Gerreidae,Parequula,melbournensis,4
MF-GB043,Monacanthidae,Scobinichthys,granulatus,2
MF-GB043,Carangidae,Seriola,hippos,1
MF-GB043,Carangidae,Trachurus,novaezelandiae,72
MF-GB043,Rhinobatidae,Trygonorrhina,fasciata,1
MF-GB043,Mullidae,Upeneichthys,vlamingii,1
MF-GB044,Ostraciidae,Anoplocapros,amygdaloides,1
MF-GB044,Labridae,Coris,auricularis,2
MF-GB044,Cheilodactylidae,Dactylophora,nigricans,1
MF-GB044,Myliobatidae,Myliobatis,australis,2
MF-GB044,Monacanthidae,Nelusetta,ayraudi,2
MF-GB044,Gerreidae,Parequula,melbournensis,5
MF-GB044,Carangidae,Pseudocaranx,spp,13
MF-GB044,Rhinobatidae,Trygonorrhina,fasciata,2
MF-GB047,Diodontidae,Allomycterus,pilatus,1
MF-GB047,Pomacentridae,Chromis,klunzingeri,10
MF-GB047,Labridae,Coris,auricularis,10
MF-GB047,Enoplosidae,Enoplosus,armatus,2
MF-GB047,Heterodontidae,Heterodontus,portusjacksoni,2
MF-GB047,Myliobatidae,Myliobatis,australis,1
