OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
599	1.09	2023 01 17 09:10:16	E:\	599.EMObs
624	1.09	2023 01 17 09:10:16	F:\	624.EMObs
634	1.09	2023 01 17 09:10:16	G:\	634.EMObs
647	1.09	2023 01 17 09:10:16	E:\	647.EMObs
666	1.09	2023 01 17 09:10:16	G:\	666.EMObs
682	1.09	2023 01 17 09:10:16	F:\	682.EMObs
694	1.09	2023 01 17 09:10:16	E:\	694.EMObs
698	1.09	2023 01 17 09:10:16	F:\	698.EMObs
719	1.09	2023 01 17 09:10:16	I:\	719.EMObs
746	1.09	2023 01 17 09:10:16	G:\	746.EMObs
748	1.09	2023 01 17 09:10:16	E:\	748.EMObs
764	1.09	2023 01 17 09:10:16	E:\	764.EMObs
782	1.09	2023 01 17 09:10:16	I:\	782.EMObs
783	1.09	2023 01 17 09:10:16	G:\	783.EMObs
791	1.09	2023 01 17 09:10:16	E:\	791.EMObs
800	1.09	2023 01 17 09:10:16	F:\	800.EMObs
810	1.09	2023 01 17 09:10:16	E:\	810.EMObs
826	1.09	2023 01 17 09:10:16	I:\	826.EMObs
848	1.09	2023 01 17 09:10:16	E:\	848.EMObs
855	1.09	2023 01 17 09:10:16	I:\	855.EMObs
858	1.09	2023 01 17 09:10:16	F:\	858.EMObs
10001	1.09	2023 01 17 09:10:16	I:\	10001.EMObs
GBR1-2	1.09	2023 01 17 09:10:16	I:\	GBR1-2.EMObs
GBR1-3	1.09	2023 01 17 09:10:16	I:\	GBR1-3.EMObs
GBR1-4	1.09	2023 01 17 09:10:16	I:\	GBR1-4.EMObs
GBR4-1	1.09	2023 01 17 09:10:16	I:\	GBR4-1.EMObs
GBR4-2	1.09	2023 01 17 09:10:16	G:\	GBR4-2.EMObs
GBR5-1	1.09	2023 01 17 09:10:16	G:\	GBR5-1.EMObs
GBR5-2	1.09	2023 01 17 09:10:16	G:\	GBR5-2.EMObs
GBR5-3	1.09	2023 01 17 09:10:16	I:\	GBR5-3.EMObs
RB1	1.09	2023 01 17 09:10:16	G:\	RB1.EMObs
RB2	1.09	2023 01 17 09:10:16	G:\	RB2.EMObs
RC1	1.09	2023 01 17 09:10:16	G:\	RC1.EMObs
RC2	1.09	2023 01 17 09:10:16	G:\	RC2.EMObs
12RC5	1.09	2023 01 17 09:10:16	G:\	12RC5.EMObs
633	1.09	2023 01 17 09:10:16	G:\	633.EMObs
139	1.09	2023 01 17 09:10:16	F:\	139.EMObs
151	1.09	2023 01 17 09:10:16	F:\	151.EMObs
352	1.09	2023 01 17 09:10:16	F:\	352.EMObs
503	1.09	2023 01 17 09:10:16	G:\	503.EMObs
544	1.09	2023 01 17 09:10:16	G:\	544.EMObs
579	1.09	2023 01 17 09:10:16	G:\	579.EMObs
608	1.09	2023 01 17 09:10:16	G:\	608.EMObs
759	1.09	2023 01 17 09:10:16	E:\	759.EMObs
839	1.09	2023 01 17 09:10:16	F:\	839.EMObs
1038	1.09	2023 01 17 09:10:16	F:\	1038.EMObs
13RC5	1.09	2023 01 17 09:10:16	F:\	13RC5.EMObs
13RC7	1.09	2023 01 17 09:10:16	F:\	13RC7.EMObs
12RC3	1.09	2023 01 17 09:10:16	G:\	12RC3.EMObs
448	1.09	2023 01 17 09:10:16	G:\	448.EMObs
5	1.09	2023 01 17 09:10:16	G:\	5.EMObs
22	1.09	2023 01 17 09:10:16	G:\	22.EMObs
100	1.09	2023 01 17 09:10:16	G:\	100.EMObs
89	1.09	2023 01 17 09:10:16	G:\	89.EMObs
656	1.09	2023 01 17 09:10:16	F:\	656.EMObs
672	1.09	2023 01 17 09:10:16	F:\	672.EMObs
113	1.09	2023 01 17 09:10:16	E:\	113.EMObs
114	1.09	2023 01 17 09:10:16	F:\	114.EMObs
567	1.09	2023 01 17 09:10:16	G:\	567.EMObs
823	1.09	2023 01 17 09:10:16	E:\	823.EMObs
10005	1.09	2023 01 17 09:10:16	E:\EM DONE\Lengths Done\	10005.EMObs
13RC13	1.09	2023 01 17 09:10:16	F:\	13RC13.EMObs
GBR-BOB	1.09	2023 01 17 09:10:16	E:\	GBR-BOB.EMObs
12RC9	1.09	2023 01 17 09:10:16	I:\	12RC9.EMObs
51	1.09	2023 01 17 09:10:16	E:\	51.EMObs
2	1.09	2023 01 17 09:10:16	G:\	2.EMObs
442	1.09	2023 01 17 09:10:16	E:\	442.EMObs
10003	1.09	2023 01 17 09:10:16	E:\	10003.EMObs
52	1.09	2023 01 17 09:10:16	E:\EM Done\cant do\	52.EMObs
56	1.09	2023 01 17 09:10:16	E:\EM Done\	56.EMObs
93	1.09	2023 01 17 09:10:16	E:\EM Done\cant do\	93.EMObs
68	1.09	2023 01 17 09:10:16	E:\	68.EMObs
33	1.09	2023 01 17 09:10:16	E:\	33.EMObs
9	1.09	2023 01 17 09:10:16	E:\	9.EMObs
50	1.09	2023 01 17 09:10:16	E:\EM Done\Cant Measure\	50.EMObs
98	1.09	2023 01 17 09:10:16	E:\EM Done\Cant Measure\	98.EMObs
279	1.09	2023 01 17 09:10:16	E:\EM Done\Cant Measure\	279.EMObs
586	1.09	2023 01 17 09:10:16	E:\EM Done\	586.EMObs
650	1.09	2023 01 17 09:10:16	E:\EM Done\Cant Measure\	650.EMObs
762	1.09	2023 01 17 09:10:16	E:\EM Done\	762.EMObs
618	1.09	2023 01 17 09:10:16	E:\EM DONE\Cant do\	618.EMObs
779	1.09	2023 01 17 09:10:16	E:\EM DONE\Cant do\	779.EMObs
101	1.09	2023 01 17 09:10:16	E:\GB CONVERT\EM Done\	101.EMObs
119	1.09	2023 01 17 09:10:16	E:\	119.EMObs
175	1.09	2023 01 17 09:10:16	E:\	175.EMObs
176	1.09	2023 01 17 09:10:16	E:\	176.EMObs
192	1.09	2023 01 17 09:10:16	E:\	192.EMObs
199	1.09	2023 01 17 09:10:16	E:\GB CONVERT\	199.EMObs
208	1.09	2023 01 17 09:10:16	E:\	208.EMObs
215	1.09	2023 01 17 09:10:16	E:\	215.EMObs
218	1.09	2023 01 17 09:10:16	E:\	218.EMObs
234	1.09	2023 01 17 09:10:16	E:\	234.EMObs
247	1.09	2023 01 17 09:10:16	E:\	247.EMObs
250	1.09	2023 01 17 09:10:16	E:\	250.EMObs
267	1.09	2023 01 17 09:10:16	E:\	267.EMObs
304	1.09	2023 01 17 09:10:16	E:\	304.EMObs
314	1.09	2023 01 17 09:10:16	E:\	314.EMObs
330	1.09	2023 01 17 09:10:16	\\C-fish-005\E\	330.EMObs
346	1.09	2023 01 17 09:10:16	E:\	346.EMObs
362	1.09	2023 01 17 09:10:16	E:\	362.EMObs
368	1.09	2023 01 17 09:10:16	E:\	368.EMObs
395	1.09	2023 01 17 09:10:16	E:\	395.EMObs
399	1.09	2023 01 17 09:10:16	E:\	399.EMObs
416	1.09	2023 01 17 09:10:16	E:\	416.EMObs
439	1.09	2023 01 17 09:10:16	E:\	439.EMObs
458	1.09	2023 01 17 09:10:16	E:\GB CONVERT\EM Done\	458.EMObs
463	1.09	2023 01 17 09:10:16	E:\	463.EMObs
474	1.09	2023 01 17 09:10:16	E:\	474.EMObs
480	1.09	2023 01 17 09:10:16	E:\	480.EMObs
492	1.09	2023 01 17 09:10:16	E:\	492.EMObs
512	1.09	2023 01 17 09:10:16	E:\	512.EMObs
