"family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"Monacanthidae","Chaetodermis","penicilligerus",0.365,0.365,0.365,28.24,28.24,28.24
"Carangidae","Pseudocaranx","spp",0.352,128.047,0.001,3.18,17.75,196.24
"Cheilodactylidae","Cheilodactylus","gibbosus",0.343,0.343,0.343,29.65,29.65,29.65
"Sphyraenidae","Sphyraena","novaehollandiae",0.331,0.331,0.331,43.98,43.98,43.98
"Serranidae","Epinephelides","armatus",0.327,0.818,0.027,14.58,32.05,46.16
"Monacanthidae","Meuschenia","galii",0.307,0.402,0.21,23.35,26.5,29.21
"Mullidae","Parupeneus","spilurus",0.239,0.244,0.234,22.52,22.67,22.82
"Sphyraenidae","Sphyraena","obtusata",0.232,0.539,0.086,23.04,31.17,41.62
"Monacanthidae","Meuschenia","flavolineata",0.221,0.417,0.068,15.85,22.98,29.57
"Labridae","Notolabrus","parilus",0.191,0.648,0.036,14.76,24.24,38.1
"Labridae","Coris","auricularis",0.177,1.107,0.005,7.52,21.36,44.5
"Mullidae","Parupeneus","chrysopleuron",0.172,0.256,0.087,16.65,20.76,24.24
"Carangidae","Trachurus","novaezelandiae",0.161,0.517,0.063,13.41,17.9,28.59
"Pomacentridae","Parma","victoriae",0.141,0.167,0.119,17.63,18.61,19.74
"Nemipteridae","Pentapodus","vitta",0.114,0.171,0.057,16.01,19.86,23.15
"Labridae","Ophthalmolepis","lineolatus",0.1,0.321,0.003,8.02,21.64,35.19
"Aracanidae","Anoplocapros","lenticularis",0.095,0.176,0.03,11.36,15.86,20.45
"Chaetodontidae","Chelmonops","curiosus",0.092,0.41,0.013,8.39,14.15,26
"Ostraciidae","Aracana","ornata",0.092,0.099,0.085,16.04,16.48,16.92
"Carangidae","Decapterus","muroadsi",0.085,0.085,0.085,18.43,18.43,18.43
"Terapontidae","Pelsartia","humeralis",0.082,0.102,0.061,16.15,17.61,19.07
"Sillaginidae","Sillago","spp",0.077,0.907,0.012,11.55,19.89,45.5
"Scorpididae","Neatypus","obliquus",0.075,0.36,0.009,6.74,13.59,23.41
"Labridae","Pictilabrus","laticlavius",0.074,0.095,0.063,17.77,18.66,20.31
"Monacanthidae","Scobinichthys","granulatus",0.07,0.171,0.007,7.25,14.98,21.78
"Labridae","Pseudolabrus","biserialis",0.066,0.187,0.014,9.01,14.33,21.29
"Mullidae","Upeneichthys","vlamingii",0.056,0.128,0.004,6.83,15.74,21.19
"Terapontidae","Pelates","octolineatus",0.055,0.074,0.04,19.32,21.34,23.5
"Monacanthidae","Acanthaluteres","vittiger",0.055,0.283,0.007,7.27,13.9,25.86
"Platycephalidae","Platycephalus","spp",0.053,0.157,0.005,9.62,19.97,29.92
"Enoplosidae","Enoplosus","armatus",0.05,0.05,0.05,20.79,20.79,20.79
"Pempherididae","Pempheris","klunzingeri",0.042,0.136,0.01,8.77,13.32,20.68
"Serranidae","Hypoplectrodes","nigroruber",0.033,0.033,0.033,15.7,15.7,15.7
"Chaetodontidae","Chaetodon","assarius",0.03,0.03,0.03,10.81,10.81,10.81
"Labridae","Austrolabrus","maculatus",0.026,0.071,0.002,4.36,10.52,15.42
"Pinguipedidae","Parapercis","ramsayi",0.025,0.032,0.019,13.06,14.32,15.59
"Labridae","Eupetrichthys","angustipes",0.023,0.047,0.004,7.37,12.42,16.19
"Apogonidae","Ostorhinchus","victoriae",0.017,0.021,0.013,9.82,10.67,11.4
"Monacanthidae","Nelusetta","ayraud",0.017,0.028,0.009,9.07,11.16,13.37
"Labridae","Halichoeres","brownfieldi",0.014,0.035,0.004,7.2,10.11,14.18
"Gerreidae","Parequula","melbournensis",0.014,0.074,0.001,3.39,8.9,16.02
"Pomacentridae","Chromis","klunzingeri",0.01,0.018,0.004,5.97,8.07,9.88
"Labridae","Dotalabrus","aurantiacus",0.007,0.007,0.007,8.67,8.67,8.67
"Odacidae","Siphonognathus","beddomei",0.006,0.006,0.005,9.82,10.3,10.78
"Pinguipedidae","Parapercis","haackei",0.005,0.005,0.005,8.38,8.38,8.38
