"sample","latitude","longitude","date","site","location","successful.count"
"MF-WC049",-33.65700033,114.9118003,20070307,"West.Coast","Capes.South","Yes"
"MF-WC050",-33.65749643,114.9457002,20070307,"West.Coast","Capes.South","Yes"
"MF-WC051",-33.65690078,114.9560011,20070307,"West.Coast","Capes.South","Yes"
"MF-WC052",-33.65630362,114.9744969,20070306,"West.Coast","Capes.South","Yes"
"MF-WC053",-33.65610351,114.9810036,20070306,"West.Coast","Capes.South","Yes"
"MF-WC054",-33.65599867,114.9779006,20070306,"West.Coast","Capes.South","Yes"
"MF-WC055",-33.58280158,115.0032045,20070307,"West.Coast","Capes.North","Yes"
"MF-WC056",-33.57210416,114.9785992,20070305,"West.Coast","Capes.North","Yes"
"MF-WC057",-33.57179773,114.9918993,20070305,"West.Coast","Capes.North","Yes"
"MF-WC058",-33.57000047,114.9984041,20070305,"West.Coast","Capes.North","Yes"
"MF-WC059",-33.56950237,114.9749974,20070305,"West.Coast","Capes.North","Yes"
"MF-WC060",-33.56880291,114.9790962,20070305,"West.Coast","Capes.North","Yes"
"MF-WC061",-33.56430434,114.9753019,20070305,"West.Coast","Capes.North","Yes"
"MF-WC062",-33.56300234,114.9795007,20070305,"West.Coast","Capes.North","Yes"
"MF-WC063",-33.55880445,115.0002997,20070305,"West.Coast","Capes.North","Yes"
"MF-WC065",-33.55629637,115.0018976,20070305,"West.Coast","Capes.North","Yes"
"MF-WC069",-33.55309821,115.0059993,20070305,"West.Coast","Capes.North","Yes"
"MF-WC070",-33.55039936,114.9785988,20070304,"West.Coast","Capes.North","Yes"
"MF-WC071",-33.55030013,114.9968986,20070304,"West.Coast","Capes.North","Yes"
"MF-WC072",-33.54849778,114.9914048,20070304,"West.Coast","Capes.North","Yes"
"MF-WC073",-33.54819694,114.9851009,20070304,"West.Coast","Capes.North","Yes"
"MF-WC074",-33.54680021,114.9945994,20070304,"West.Coast","Capes.North","Yes"
"MF-WC075",-33.54250121,114.9992001,20070304,"West.Coast","Capes.North","Yes"
"MF-WC076",-33.54030364,114.9899038,20070305,"West.Coast","Capes.North","Yes"
"MF-WC077",-33.53959742,114.9863989,20070304,"West.Coast","Capes.North","Yes"
"MF-WC078",-33.53330281,114.9896998,20070304,"West.Coast","Capes.North","Yes"
"MF-WC079",-33.53300192,114.983397,20070304,"West.Coast","Capes.North","Yes"
"MF-WC080",-33.52919964,114.9958027,20070305,"West.Coast","Capes.North","Yes"
"MF-WC081",-33.52650107,114.9951006,20070304,"West.Coast","Capes.North","Yes"
"MF-WC082",-33.52440224,114.986902,20070304,"West.Coast","Capes.North","Yes"
"MF-WC083",-33.52439553,114.9803993,20070304,"West.Coast","Capes.North","Yes"
"MF-WC084",-33.52390256,114.9900035,20070304,"West.Coast","Capes.North","Yes"
"MF-WC085",-33.51960343,115.0023975,20070304,"West.Coast","Capes.North","Yes"
"MF-WC086",-33.51890176,115.0052989,20070305,"West.Coast","Capes.North","Yes"
"MF-WC087",-33.5183,114.9953975,20070305,"West.Coast","Capes.North","Yes"
"MF-WC089",-33.5188026,115.0053012,20070304,"West.Coast","Capes.North","Yes"
"MF-WC090",-33.51540356,115.003097,20070305,"West.Coast","Capes.North","Yes"
"MF-WC092",-33.51359767,114.9995968,20070305,"West.Coast","Capes.North","Yes"
"MF-WC094",-33.51319752,115.0032984,20070303,"West.Coast","Capes.North","Yes"
"MF-WC095",-33.51250362,115.0050044,20070303,"West.Coast","Capes.North","Yes"
"MF-WC096",-33.51209761,114.9954976,20070305,"West.Coast","Capes.North","Yes"
"MF-WC097",-33.51109899,115.0113017,20070303,"West.Coast","Capes.North","Yes"
"MF-WC098",-33.51100395,115.0025952,20070305,"West.Coast","Capes.North","Yes"
"MF-WC099",-33.50959999,115.0213041,20070303,"West.Coast","Capes.North","Yes"
"MF-WC100",-33.50760321,115.0042019,20070305,"West.Coast","Capes.North","Yes"
"MF-WC101",-33.50300304,115.0030051,20070305,"West.Coast","Capes.North","Yes"
"MF-WC102",-33.50199585,115.0014998,20070305,"West.Coast","Capes.North","Yes"
"MF-WC104",-33.49860293,115.0260965,20070305,"West.Coast","Capes.North","Yes"
"MF-WC105",-33.49780274,115.0042978,20070305,"West.Coast","Capes.North","Yes"
"MF-WC106",-33.49719964,115.0066041,20070305,"West.Coast","Capes.North","Yes"
"MF-WC107",-33.49730422,115.0103042,20070305,"West.Coast","Capes.North","Yes"
"MF-WC108",-33.49580444,115.0293028,20070304,"West.Coast","Capes.North","Yes"
"MF-WC110",-33.49390116,115.0056035,20070305,"West.Coast","Capes.North","Yes"
"MF-WC111",-33.4927011,115.015102,20070304,"West.Coast","Capes.North","Yes"
"MF-WC115",-33.4842018,114.9952044,20070305,"West.Coast","Capes.North","Yes"
"MF-WC116",-33.48337086,115.0018202,20070305,"West.Coast","Capes.North","Yes"
"1",-33.36345,115.21415,20141210,NA,"Geographe.Bay","Yes"
"2",-33.4405333,115.10095,20141210,NA,"Geographe.Bay","Yes"
"3",-33.4920833,115.3549,20141213,NA,"Geographe.Bay","Yes"
"4",-33.3921,115.2280833,20141210,NA,"Geographe.Bay","Yes"
"5",-33.3627833,115.45495,20141211,NA,"Geographe.Bay","Yes"
"6",-33.4070833,115.1204167,20141210,NA,"Geographe.Bay","Yes"
"7",-33.4204833,115.4457,20141213,NA,"Geographe.Bay","Yes"
"9",-33.3643333,115.1361167,20141210,NA,"Geographe.Bay","Yes"
"10",-33.5281667,115.3313333,20141212,NA,"Geographe.Bay","Yes"
"11",-33.5712167,115.2958167,20141212,NA,"Geographe.Bay","Yes"
"12",-33.40395,115.2615667,20141210,NA,"Geographe.Bay","Yes"
"13",-33.4501833,115.0925167,20141209,NA,"Geographe.Bay","Yes"
"14",-33.5296667,115.4130333,20141213,NA,"Geographe.Bay","Yes"
"15",-33.5782333,115.2147833,20141212,NA,"Geographe.Bay","Yes"
"16",-33.3889,115.4986167,20141211,NA,"Geographe.Bay","Yes"
"17",-33.3635833,115.23265,20141210,NA,"Geographe.Bay","Yes"
"18",-33.3926,115.0981333,20141210,NA,"Geographe.Bay","Yes"
"19",-33.4605,115.3618,20141213,NA,"Geographe.Bay","Yes"
"20",-33.4338667,115.2221167,20141210,NA,"Geographe.Bay","Yes"
"21",-33.3857167,115.39765,20141214,NA,"Geographe.Bay","Yes"
"22",-33.57455,115.1806667,20141209,NA,"Geographe.Bay","Yes"
"23",-33.5041833,115.4289333,20141216,NA,"Geographe.Bay","Yes"
"24",-33.47115,115.2861667,20141209,NA,"Geographe.Bay","Yes"
"25",-33.3833333,115.0827833,20141210,NA,"Geographe.Bay","Yes"
"26",-33.5500333,115.3236167,20141212,NA,"Geographe.Bay","Yes"
"27",-33.5463667,115.1883833,20141209,NA,"Geographe.Bay","Yes"
"28",-33.42715,115.2872833,20141211,NA,"Geographe.Bay","Yes"
"29",-33.4869667,115.1764,20141209,NA,"Geographe.Bay","Yes"
"30",-33.42405,115.33405,20141211,NA,"Geographe.Bay","Yes"
"31",-33.5986333,115.2369167,20141212,NA,"Geographe.Bay","Yes"
"32",-33.4807833,115.46205,20141213,NA,"Geographe.Bay","Yes"
"33",-33.3527667,115.3204833,20141211,NA,"Geographe.Bay","Yes"
"34",-33.3845167,115.0739,20141210,NA,"Geographe.Bay","Yes"
"35",-33.4055,115.4157167,20141213,NA,"Geographe.Bay","Yes"
"36",-33.4269,115.20765,20141210,NA,"Geographe.Bay","Yes"
"37",-33.3585,115.3721,20141211,NA,"Geographe.Bay","Yes"
"38",-33.5036833,115.1274333,20141209,NA,"Geographe.Bay","Yes"
"39",-33.465,115.43285,20141211,NA,"Geographe.Bay","Yes"
"40",-33.4719667,115.2287167,20141209,NA,"Geographe.Bay","Yes"
"41",-33.36785,115.0985833,20141210,NA,"Geographe.Bay","Yes"
"42",-33.5425167,115.3862333,20141212,NA,"Geographe.Bay","Yes"
"44",-33.3984333,115.30965,20141211,NA,"Geographe.Bay","Yes"
"45",-33.4445667,115.13165,20141209,NA,"Geographe.Bay","Yes"
"46",-33.4028,115.3493,20141214,NA,"Geographe.Bay","Yes"
"47",-33.5485,115.2877667,20141212,NA,"Geographe.Bay","Yes"
"48",-33.40275,115.5133833,20141211,NA,"Geographe.Bay","Yes"
"49",-33.3809167,115.2720667,20141210,NA,"Geographe.Bay","Yes"
"50",-33.4108,115.1742333,20141210,NA,"Geographe.Bay","Yes"
"51",-33.4315667,115.41365,20141213,NA,"Geographe.Bay","Yes"
"52",-33.49265,115.2982,20141209,NA,"Geographe.Bay","Yes"
"53",-33.3582167,115.3565167,20141211,NA,"Geographe.Bay","Yes"
"54",-33.51305,115.1532,20141209,NA,"Geographe.Bay","Yes"
"55",-33.5708667,115.2801167,20141212,NA,"Geographe.Bay","Yes"
"56",-33.4953,115.2224167,20141209,NA,"Geographe.Bay","Yes"
"58",-33.56965,115.3795833,20141212,NA,"Geographe.Bay","Yes"
"60",-33.3626167,115.5049333,20141211,NA,"Geographe.Bay","Yes"
"61",-33.4992833,115.1345167,20141209,NA,"Geographe.Bay","Yes"
"62",-33.4505,115.3306833,20141211,NA,"Geographe.Bay","Yes"
"63",-33.50385,115.2562,20141209,NA,"Geographe.Bay","Yes"
"64",-33.4364167,115.50945,20141211,NA,"Geographe.Bay","Yes"
"65",-33.3597167,115.2047667,20141210,NA,"Geographe.Bay","Yes"
"67",-33.4783167,115.0859333,20141209,NA,"Geographe.Bay","Yes"
"68",-33.3881667,115.2426,20141210,NA,"Geographe.Bay","Yes"
"69",-33.3534333,115.4040333,20141211,NA,"Geographe.Bay","Yes"
"70",-33.4158833,115.1513667,20141210,NA,"Geographe.Bay","Yes"
"71",-33.4270833,115.4286667,20141213,NA,"Geographe.Bay","Yes"
"72",-33.4624833,115.32235,20141211,NA,"Geographe.Bay","Yes"
"73",-33.3718,115.1456,20141210,NA,"Geographe.Bay","Yes"
"75",-33.5893333,115.29455,20141212,NA,"Geographe.Bay","Yes"
"76",-33.41295,115.2846833,20141211,NA,"Geographe.Bay","Yes"
"77",-33.45575,115.1029,20141209,NA,"Geographe.Bay","Yes"
"78",-33.5076,115.4437667,20141213,NA,"Geographe.Bay","Yes"
"79",-33.5874,115.2308833,20141212,NA,"Geographe.Bay","Yes"
"80",-33.3515833,115.5195333,20141211,NA,"Geographe.Bay","Yes"
"81",-33.3788167,115.23045,20141210,NA,"Geographe.Bay","Yes"
"82",-33.3955167,115.1102833,20141210,NA,"Geographe.Bay","Yes"
"83",-33.46935,115.37905,20141213,NA,"Geographe.Bay","Yes"
"84",-33.3964667,115.1924,20141210,NA,"Geographe.Bay","Yes"
"86",-33.5405167,115.1785167,20141209,NA,"Geographe.Bay","Yes"
"87",-33.4896,115.4589333,20141213,NA,"Geographe.Bay","Yes"
"88",-33.5010667,115.2145333,20141209,NA,"Geographe.Bay","Yes"
"89",-33.3828167,115.0563833,20141210,NA,"Geographe.Bay","Yes"
"90",-33.5333167,115.3224833,20141212,NA,"Geographe.Bay","Yes"
"91",-33.5396,115.2060833,20141209,NA,"Geographe.Bay","Yes"
"92",-33.4175833,115.3149833,20141211,NA,"Geographe.Bay","Yes"
"93",-33.4813167,115.15275,20141209,NA,"Geographe.Bay","Yes"
"95",-33.5175,115.3155333,20141212,NA,"Geographe.Bay","Yes"
"96",-33.4489,115.4808167,20141211,NA,"Geographe.Bay","Yes"
"97",-33.38465,115.2926667,20141211,NA,"Geographe.Bay","Yes"
"98",-33.434,115.1726667,20141210,NA,"Geographe.Bay","Yes"
"99",-33.3953,115.3990167,20141214,NA,"Geographe.Bay","Yes"
"100",-33.4324833,115.21415,20141210,NA,"Geographe.Bay","Yes"
"101",-33.3885833,115.37675,20141214,NA,"Geographe.Bay","Yes"
"102",-33.5185,115.1196,20141209,NA,"Geographe.Bay","Yes"
"103",-33.4581167,115.4547167,20141211,NA,"Geographe.Bay","Yes"
"104",-33.4597333,115.2450667,20141209,NA,"Geographe.Bay","Yes"
"106",-33.57825,115.3451333,20141212,NA,"Geographe.Bay","Yes"
"107",-33.5833333,115.1881167,20141215,NA,"Geographe.Bay","Yes"
"108",-33.4690833,115.1676667,20141209,NA,"Geographe.Bay","Yes"
"110",-33.4022667,115.3556833,20141214,NA,"Geographe.Bay","Yes"
"111",-33.5369,115.3219167,20141212,NA,"Geographe.Bay","Yes"
"112",-33.4052,115.5224,20141211,NA,"Geographe.Bay","Yes"
"113",-33.3658333,115.27785,20141210,NA,"Geographe.Bay","Yes"
"114",-33.3984333,115.1639167,20141210,NA,"Geographe.Bay","Yes"
"115",-33.4446333,115.4064667,20141213,NA,"Geographe.Bay","Yes"
"116",-33.4981667,115.2863667,20141209,NA,"Geographe.Bay","Yes"
"119",-33.4388333,115.5567333,20141214,NA,"Geographe.Bay","Yes"
"122",-33.5375,115.4020833,20141213,NA,"Geographe.Bay","Yes"
"135",-33.50185,115.4207333,20141216,NA,"Geographe.Bay","Yes"
"138",-33.5808333,115.1139333,20141215,NA,"Geographe.Bay","Yes"
"139",-33.60325,115.2736667,20141217,NA,"Geographe.Bay","Yes"
"143",-33.5761667,115.2367,20141215,NA,"Geographe.Bay","Yes"
"144",-33.5342333,115.4323167,20141216,NA,"Geographe.Bay","Yes"
"151",-33.4768,115.4328833,20141216,NA,"Geographe.Bay","Yes"
"154",-33.6033667,115.19675,20141215,NA,"Geographe.Bay","Yes"
"160",-33.6033667,115.2477833,20141216,NA,"Geographe.Bay","Yes"
"167",-33.4627333,115.4805667,20141216,NA,"Geographe.Bay","Yes"
"170",-33.54165,115.3698333,20141216,NA,"Geographe.Bay","Yes"
"175",-33.5518167,115.12275,20141215,NA,"Geographe.Bay","Yes"
"176",-33.59,115.1290667,20141215,NA,"Geographe.Bay","Yes"
"183",-33.5687667,115.2488,20141215,NA,"Geographe.Bay","Yes"
"192",-33.4273167,115.5755833,20141214,NA,"Geographe.Bay","Yes"
"196",-33.5098167,115.4045,20141216,NA,"Geographe.Bay","Yes"
"199",-33.5975167,115.2108833,20141215,NA,"Geographe.Bay","Yes"
"202",-33.5779333,115.4117167,20141217,NA,"Geographe.Bay","Yes"
"207",-33.5738333,115.23165,20141212,NA,"Geographe.Bay","Yes"
"208",-33.3873,115.5742333,20141214,NA,"Geographe.Bay","Yes"
"215",-33.6065667,115.2241167,20141215,NA,"Geographe.Bay","Yes"
"218",-33.5954833,115.3030667,20141217,NA,"Geographe.Bay","Yes"
"224",-33.4189,115.5035833,20141216,NA,"Geographe.Bay","Yes"
"234",-33.6031667,115.3602167,20141217,NA,"Geographe.Bay","Yes"
"236",-33.4949167,115.4766833,20141216,NA,"Geographe.Bay","Yes"
"240",-33.4387833,115.4684667,20141216,NA,"Geographe.Bay","Yes"
"247",-33.5561,115.1345167,20141215,NA,"Geographe.Bay","Yes"
"250",-33.5628167,115.4223667,20141216,NA,"Geographe.Bay","Yes"
"256",-33.4083167,115.4774833,20141214,NA,"Geographe.Bay","Yes"
"267",-33.5707,115.1362,20141215,NA,"Geographe.Bay","Yes"
"270",-33.52045,115.4206,20141213,NA,"Geographe.Bay","Yes"
"271",-33.5937,115.2133167,20141212,NA,"Geographe.Bay","Yes"
"272",-33.3815,115.4879333,20141214,NA,"Geographe.Bay","Yes"
