"sample","maxn.analyst","curtin.observer","successful.count","latitude","longitude","commonwealth.zone","state.zone","status","priority"
"108","Logan","laura","Yes",-33.4690833,115.1676667,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"111","Logan ","Laura","Yes",-33.5369,115.3219167,"Multiple Use Zone",NA,"Fished",NA
"110","","Lauren","",-33.4022667,115.3556833,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","1"
"112","Hayley","Laura","Yes",-33.4052,115.5224,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"113","","Laura","",-33.3658333,115.27785,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","2"
"114","","Lizzy","",-33.3984333,115.1639167,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","2"
"115","Logan","Laura","Yes",-33.4446333,115.4064667,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"116","Hayley ","Laura","Yes",-33.4981667,115.2863667,"Multiple Use Zone",NA,"Fished",NA
"119","","Lizzy","",-33.4388333,115.5567333,NA,NA,"Fished",NA
"122","Logan","Lauren","Yes",-33.5375,115.4020833,"Multiple Use Zone",NA,"Fished",NA
"135","Logan","Lauren","Yes",-33.50185,115.4207333,"Multiple Use Zone",NA,"Fished",NA
"128","","N/A","No",NA,NA,NA,NA,NA,NA
"138","","Lauren","",-33.5808333,115.1139333,NA,NA,"Fished",NA
"139","Daphne","Lauren","",-33.60325,115.2736667,"Multiple Use Zone",NA,"Fished",NA
"143","Logan","Lizzy","Yes",-33.5761667,115.2367,"Multiple Use Zone",NA,"Fished",NA
"144","","Lauren","",-33.5342333,115.4323167,NA,NA,"Fished",NA
"151","Daphne","Lizzy","",-33.4768,115.4328833,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"154","","Lauren","",-33.6033667,115.19675,NA,NA,"Fished",NA
"160","Logan","Lauren","Yes",-33.6033667,115.2477833,"Multiple Use Zone",NA,"Fished",NA
"167","Logan","Laura","Yes",-33.4627333,115.4805667,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"170","Logan","Lizzy","Yes",-33.54165,115.3698333,"National Park Zone",NA,"No-take",NA
"175","","Lizzy","",-33.5518167,115.12275,NA,NA,"Fished",NA
"176","","Lizzy","",-33.59,115.1290667,NA,NA,"Fished",NA
"183","Logan","Lizzy","Yes",-33.5687667,115.2488,"Multiple Use Zone",NA,"Fished",NA
"192","","Lizzy","",-33.4273167,115.5755833,NA,NA,"Fished",NA
"196","Logan","Lauren","Yes",-33.5098167,115.4045,"Multiple Use Zone",NA,"Fished",NA
"199","","Lizzy","",-33.5975167,115.2108833,NA,NA,"Fished",NA
"202","","Lauren","",-33.5779333,115.4117167,NA,"East Geographe Bay Sanctuary Zone","No-take",NA
"207","Hayley","Lizzy","Yes",-33.5738333,115.23165,"Habitat Protection Zone",NA,"Fished",NA
"208","","Lizzy","",-33.3873,115.5742333,NA,NA,"Fished",NA
"215","","Lizzy","",-33.6065667,115.2241167,NA,NA,"Fished",NA
"218","","Laura","",-33.5954833,115.3030667,NA,NA,"Fished",NA
"224","Hayley","Lauren","Yes",-33.4189,115.5035833,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"234","","Laura","",-33.6031667,115.3602167,NA,NA,"Fished",NA
"231","","N/A","No",NA,NA,NA,NA,NA,NA
"236","","Lauren","",-33.4949167,115.4766833,NA,NA,"Fished",NA
"240","Logan","Lizzy","Yes",-33.4387833,115.4684667,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"247","","Lizzy","",-33.5561,115.1345167,NA,NA,"Fished",NA
"250","","Laura","",-33.5628167,115.4223667,NA,"East Geographe Bay Sanctuary Zone","No-take",NA
"256","Logan","Lizzy","Yes",-33.4083167,115.4774833,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"267","","Lizzy","",-33.5707,115.1362,NA,NA,"Fished",NA
"270","Logan ","Laura","Yes",-33.52045,115.4206,"Multiple Use Zone",NA,"Fished",NA
"271","Logan ","Laura","Yes",-33.5937,115.2133167,"Habitat Protection Zone",NA,"Fished",NA
"272","Logan (ends 54:39)","Lizzy","Yes",-33.3815,115.4879333,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"282","Logan","Laura","Yes",-33.5571833,115.3322333,"Multiple Use Zone",NA,"Fished",NA
"279","","Lizzy","",-33.5011833,115.4379167,"Multiple Use Zone",NA,"Fished","2"
"287","Logan","Lizzy","Yes",-33.5940333,115.2189,"Habitat Protection Zone",NA,"Fished",NA
"288","Logan","Laura","Yes",-33.4709833,115.4775833,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"295","","Lauren","",-33.5555333,115.46605,NA,NA,"Fished",NA
"298","","Lauren","",-33.5825167,115.1301333,NA,NA,"Fished",NA
"304","","Lizzy","",-33.5958333,115.1453667,NA,NA,"Fished",NA
"314","","Lizzy","",-33.5869,115.1628333,NA,NA,"Fished",NA
"316","","Lauren","",-33.3839667,115.5281667,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","1"
"320","Logan","Lauren","",-33.4417833,115.49575,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"327","Logan","Damon","Yes",-33.4892333,115.3942,"Multiple Use Zone",NA,"Fished",NA
"330","","Damon","",-33.5691167,115.104,NA,"Eagle Bay Sanctuary Zone","No-take",NA
"331","Logan","Lizzy","Yes",-33.6030833,115.2530333,"Multiple Use Zone",NA,"Fished",NA
"335","Hayley ","Lauren","Yes",-33.5771167,115.2266667,"Habitat Protection Zone",NA,"Fished",NA
"346","","Lizzy","",-33.6092,115.2392833,NA,NA,"Fished",NA
"352","Daphne","Lizzy","",-33.4517667,115.4879833,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"362","","Laura","",-33.627,115.2948,NA,NA,"Fished",NA
"368","","Laura","",-33.5725167,115.45125,NA,NA,"Fished",NA
"375","Logan","Laura","Yes",-33.5902167,115.2205667,"Habitat Protection Zone",NA,"Fished",NA
"378","Logan","Lauren","Yes",-33.5555833,115.3912,"National Park Zone",NA,"No-take",NA
"384","Hayley","Lauren","Yes",-33.4274667,115.51415,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"391","Logan","Lizzy","Yes",-33.50165,115.4101333,"Multiple Use Zone",NA,"Fished",NA
"394","Logan","Lizzy","Yes",-33.5181,115.3820167,"Multiple Use Zone",NA,"Fished",NA
"395","","Laura","",-33.6072833,115.3444333,NA,NA,"Fished",NA
"399","","Laura","",-33.6143333,115.31295,NA,NA,"Fished",NA
"400","Logan","Damon","Yes",-33.3575833,115.5516833,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"407","Logan","Lauren","Yes",-33.4881667,115.4274667,"Multiple Use Zone",NA,"Fished",NA
"416","","Laura","",-33.6147833,115.2806167,NA,NA,"Fished",NA
"426","","Lauren","",NA,NA,NA,NA,NA,NA
"428","","Lauren","",-33.45045,115.5572167,NA,NA,"Fished",NA
"432","","Lauren","",-33.4270333,115.4686,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","1"
"439","","Laura","",-33.6309333,115.2730667,NA,NA,"Fished",NA
"442","","Lizzy","",-33.5066,115.41935,"Multiple Use Zone",NA,"Fished","2"
"443","Logan","Laura","Yes",-33.5698,115.2024833,"Habitat Protection Zone",NA,"Fished",NA
"448","Daphne","Lizzy","",-33.3965,115.4930667,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"451","","Lauren","",-33.41975,115.5529,NA,NA,"Fished",NA
"455","Logan","Lizzy","Yes",-33.5671333,115.1820333,"Multiple Use Zone",NA,"Fished",NA
"458","","Lizzy","",-33.51505,115.50435,NA,NA,"Fished",NA
"463","","Lizzy","",-33.51505,115.50435,NA,NA,"Fished",NA
"474","","Laura","",-33.4681167,115.5436,NA,NA,"Fished",NA
"480","","Laura","",-33.3475833,115.5777,NA,NA,"Fished",NA
"490","Logan","Lizzy","Yes",-33.5613,115.3612,"Multiple Use Zone",NA,"Fished",NA
"492","","Laura","",-33.4637833,115.4974833,NA,NA,"Fished",NA
"496","","Lauren","",-33.4851167,115.4752333,NA,NA,"Fished",NA
